arm,group,long,short,sharpe,ann_ret_pct,ann_vol_pct,days_in_market_pct,max_dd,sh_05-10,sh_11-15,sh_16-20,sh_21-26,placebo_pctile,placebo_p95,mean_bps_per_event,t_per_event,n_events
eqUS4ew:pre1_rev,fomc_event,-,-1,-0.378,-1.53,4.05,3.2,-0.318,-0.38,-0.09,-1.02,-0.1,28.0,0.066,,,
eq15rp:post12,fomc_event,"1,2",-,-0.38,-1.79,4.71,6.4,-0.393,-0.26,-0.23,-0.78,-0.28,2.0,0.341,,,
eqUS4ew:post12,fomc_event,"1,2",-,-0.384,-2.02,5.25,6.4,-0.454,-0.3,-0.23,-0.88,-0.15,0.0,0.458,,,
crypto2:pre1_rev,fomc_event,-,-1,-0.393,-3.48,8.85,2.2,-0.263,,,-1.25,-0.27,37.0,0.419,,,
TLT:post12_rev,fomc_event,-,"1,2",-0.393,-1.8,4.57,6.4,-0.406,-0.35,-0.18,-1.02,-0.09,16.0,0.141,,,
all21rp:post12,fomc_event,"1,2",-,-0.397,-0.66,1.67,6.4,-0.165,-0.26,-0.7,-0.6,-0.27,4.0,0.236,,,
TLT:ann_rev,fomc_event,-,0,-0.397,-1.19,3.0,3.2,-0.267,-0.17,0.03,-0.7,-0.77,18.0,0.11,,,
eqUS4ew:post1,fomc_event,1,-,-0.407,-1.66,4.07,3.2,-0.391,-0.31,-0.68,-0.63,-0.1,4.0,0.282,,,
eq15rp:post1,fomc_event,1,-,-0.427,-1.56,3.65,3.2,-0.36,-0.22,-0.81,-0.68,-0.08,6.0,0.299,,,
SPY:post12,fomc_event,"1,2",-,-0.428,-2.11,4.93,6.4,-0.455,-0.44,-0.27,-0.92,-0.09,0.0,0.362,,,
eq13ew:post1,fomc_event,1,-,-0.429,-1.62,3.78,3.2,-0.372,-0.28,-0.76,-0.68,-0.06,2.0,0.303,,,
bond3rp:post1_rev,fomc_event,-,1,-0.429,-0.7,1.63,3.2,-0.153,-0.59,-0.22,-0.76,-0.29,48.0,-0.051,,,
TLTvsSPY:ann,fomc_event,0,-,-0.43,-1.99,4.63,3.2,-0.453,-1.05,-0.69,0.47,0.11,16.0,0.039,,,
GLD:ann_rev,fomc_event,-,0,-0.436,-1.53,3.51,3.2,-0.372,-0.47,-0.14,-0.99,-0.28,20.0,0.076,,,
GLD:pre1_rev,fomc_event,-,-1,-0.445,-1.29,2.9,3.2,-0.298,-0.74,-0.11,-1.13,-0.04,22.0,0.057,,,
eq15ew:post1,fomc_event,1,-,-0.447,-1.71,3.83,3.2,-0.384,-0.26,-0.83,-0.7,-0.08,2.0,0.282,,,
GLD:ann_fade_rev,fomc_event,1,0,-0.448,-2.66,5.93,6.4,-0.55,0.04,-0.92,-0.97,-0.34,9.0,0.16,,,
crypto2:ann_fade_rev,fomc_event,1,0,-0.449,-7.83,17.46,4.4,-0.566,,,-0.39,-0.48,20.0,0.423,,,
SPY:post1,fomc_event,1,-,-0.452,-1.71,3.78,3.2,-0.38,-0.36,-0.77,-0.66,-0.09,2.0,0.332,,,
xasset8rp:post12,fomc_event,"1,2",-,-0.455,-1.11,2.43,6.4,-0.241,-0.12,-0.8,-0.73,-0.4,2.0,0.314,,,
BTC:pre1_rev,fomc_event,-,-1,-0.459,-3.75,8.16,2.2,-0.27,,,-1.54,-0.27,29.0,0.382,,,
bond3rp:post12_rev,fomc_event,-,"1,2",-0.472,-1.09,2.3,6.4,-0.25,-0.44,-0.22,-1.06,-0.28,31.0,-0.062,,,
bond3rp:preann_fade_rev,fomc_event,"1,2","-1,0",-0.481,-1.6,3.32,12.7,-0.304,-0.53,-0.51,-0.06,-0.77,24.0,-0.015,,,
TLT:pre1_rev,fomc_event,-,-1,-0.485,-1.36,2.8,3.2,-0.272,-0.71,-0.73,-0.13,-0.45,8.0,0.135,,,
HYG:post1,fomc_event,1,-,-0.489,-1.23,2.51,3.2,-0.276,-0.14,-1.12,-0.98,-0.33,8.0,0.233,,,
bondVsEq:ann,fomc_event,0,-,-0.491,-2.02,4.11,3.2,-0.438,-1.07,-0.78,0.3,0.02,21.0,0.014,,,
TLT:pre_ann_rev,fomc_event,-,"-1,0",-0.505,-2.07,4.1,6.4,-0.397,-0.47,-0.36,-0.48,-0.74,8.0,0.192,,,
