arm,group,long,short,sharpe,ann_ret_pct,ann_vol_pct,days_in_market_pct,max_dd,sh_05-10,sh_11-15,sh_16-20,sh_21-26,placebo_pctile,placebo_p95,mean_bps_per_event,t_per_event,n_events
ETH:w2h@+0,intraday,2h@+0h,-,0.314,1.04,3.31,2.2,-0.067,,,-0.76,0.51,96.0,0.265,25.2,1.57,53.0
ETH:w48h@+0,intraday,48h@+0h,-,0.308,4.6,14.93,2.2,-0.157,,,1.56,0.08,67.0,0.702,77.0,1.06,53.0
ETH:w24h@+24,intraday,24h@+24h,-,0.267,4.59,17.19,2.2,-0.275,,,1.34,-0.02,76.0,0.562,73.0,0.87,53.0
IWM:w24h@+0,intraday,24h@+0h,-,0.242,1.17,4.81,3.1,-0.081,,,-0.25,0.59,77.0,0.58,20.7,0.87,52.0
HYG:w48h@+0,intraday,48h@+0h,-,0.226,0.55,2.44,3.1,-0.044,,,-0.3,0.62,92.0,0.326,13.0,1.07,52.0
BTC:w2h@+0,intraday,2h@+0h,-,0.207,0.65,3.15,2.2,-0.063,,,-0.15,0.35,94.0,0.211,20.4,1.32,53.0
IWM:w6h@+0,intraday,6h@+0h,-,0.172,0.9,5.2,3.1,-0.1,,,-0.18,0.56,64.0,0.54,17.3,0.67,52.0
DIA:w48h@+0,intraday,48h@+0h,-,0.161,0.74,4.6,3.1,-0.083,,,-0.33,0.47,50.0,0.707,15.3,0.67,52.0
BTC:w24h@+24,intraday,24h@+24h,-,0.141,2.02,14.27,2.2,-0.296,,,1.14,-0.24,60.0,0.609,39.9,0.57,53.0
SPY:w24h@+0,intraday,24h@+0h,-,0.114,0.41,3.57,3.1,-0.073,,,-0.54,0.58,59.0,0.665,11.1,0.63,52.0
HYG:w24h@+0,intraday,24h@+0h,-,0.105,0.22,2.14,3.1,-0.043,,,-0.58,0.57,82.0,0.337,8.8,0.83,52.0
QQQ:w24h@+24,intraday,24h@+24h,-,0.051,0.33,6.57,3.1,-0.167,,,0.27,-0.0,58.0,0.684,10.2,0.31,52.0
GLD:w48h@+0,intraday,48h@+0h,-,0.046,0.17,3.61,3.1,-0.073,,,1.72,-0.19,47.0,0.72,8.1,0.45,52.0
SPY:w6h@+0,intraday,6h@+0h,-,0.035,0.14,4.12,3.1,-0.089,,,-0.34,0.42,50.0,0.637,7.8,0.38,52.0
XLK:w24h@+24,intraday,24h@+24h,-,0.034,0.22,6.52,3.1,-0.157,,,0.29,-0.03,52.0,0.57,8.8,0.27,52.0
TLT:w48h@+0,intraday,48h@+0h,-,0.015,0.08,5.32,3.1,-0.119,,,-0.63,0.55,79.0,0.36,7.0,0.26,52.0
TLT:w6h@+0,intraday,6h@+0h,-,-0.022,-0.06,2.7,3.1,-0.068,,,-0.93,0.54,70.0,0.356,5.3,0.39,52.0
GLD:w24h@+0,intraday,24h@+0h,-,-0.038,-0.1,2.75,3.1,-0.052,,,-0.05,-0.03,45.0,0.588,4.7,0.34,52.0
TLT:w24h@+24,intraday,24h@+24h,-,-0.041,-0.16,3.98,3.1,-0.113,,,0.94,-0.33,60.0,0.472,4.0,0.2,52.0
HYG:w6h@+0,intraday,6h@+0h,-,-0.043,-0.1,2.26,3.1,-0.049,,,-0.72,0.45,79.0,0.271,4.8,0.43,52.0
GLD:w6h@+0,intraday,6h@+0h,-,-0.134,-0.31,2.3,3.1,-0.047,,,-0.13,-0.14,37.0,0.608,2.1,0.18,52.0
GLD:w24h@+24,intraday,24h@+24h,-,-0.164,-0.76,4.67,3.1,-0.095,,,-0.37,-0.15,34.0,0.709,-3.7,-0.16,52.0
SPY:w24h@+24,intraday,24h@+24h,-,-0.172,-0.88,5.14,3.1,-0.144,,,-0.37,-0.12,36.0,0.774,-5.2,-0.2,52.0
DIA:w24h@+0,intraday,24h@+0h,-,-0.195,-0.68,3.51,3.1,-0.082,,,-0.78,0.19,34.0,0.619,-2.6,-0.15,52.0
TLT:w24h@+0,intraday,24h@+0h,-,-0.199,-0.85,4.28,3.1,-0.111,,,-0.97,0.46,52.0,0.364,-4.8,-0.22,52.0
DIA:w6h@+0,intraday,6h@+0h,-,-0.212,-0.87,4.1,3.1,-0.094,,,-0.54,-0.04,30.0,0.577,-5.0,-0.24,52.0
DIA:w24h@+24,intraday,24h@+24h,-,-0.222,-1.04,4.68,3.1,-0.145,,,-0.54,-0.12,38.0,0.496,-7.1,-0.31,52.0
QQQ:w2h@+0,intraday,2h@+0h,-,-0.28,-0.51,1.81,3.1,-0.044,,,-0.97,0.13,42.0,0.38,-0.4,-0.04,52.0
IWM:w24h@+24,intraday,24h@+24h,-,-0.298,-2.25,7.54,3.1,-0.248,,,-0.57,-0.23,26.0,0.619,-22.4,-0.6,52.0
HYG:w2h@+0,intraday,2h@+0h,-,-0.5,-0.42,0.84,3.1,-0.029,,,-1.05,-0.38,79.0,0.017,0.7,0.16,52.0
XLK:w2h@+0,intraday,2h@+0h,-,-0.55,-1.05,1.9,3.1,-0.071,,,-1.04,-0.44,22.0,0.383,-7.2,-0.78,52.0
SPY:w2h@+0,intraday,2h@+0h,-,-0.578,-0.94,1.62,3.1,-0.063,,,-0.97,-0.71,24.0,0.334,-5.8,-0.74,52.0
IWM:w2h@+0,intraday,2h@+0h,-,-0.627,-1.37,2.19,3.1,-0.089,,,-0.99,-0.77,25.0,0.219,-11.3,-1.07,52.0
GLD:w2h@+0,intraday,2h@+0h,-,-0.632,-0.39,0.61,3.1,-0.041,,,-1.73,-0.48,38.0,0.105,1.1,0.37,52.0
TLT:w2h@+0,intraday,2h@+0h,-,-0.634,-0.9,1.42,3.1,-0.058,,,-1.06,-0.67,19.0,0.276,-5.3,-0.78,52.0
HYG:w24h@+24,intraday,24h@+24h,-,-0.647,-1.38,2.13,3.1,-0.097,,,-1.58,-0.45,18.0,0.29,-11.4,-1.1,52.0
DIA:w2h@+0,intraday,2h@+0h,-,-0.847,-1.42,1.68,3.1,-0.091,,,-1.11,-1.42,10.0,0.315,-12.0,-1.5,52.0
tom_crypto2:m4p3,tom,"-3,-2,-1,0,1,2,3",-,0.83,24.2,29.15,22.9,-0.546,,,1.44,0.7,94.0,0.912,,,
tom_xasset8rp:m4p3,tom,"-3,-2,-1,0,1,2,3",-,0.759,3.73,4.92,33.4,-0.099,0.73,0.63,1.36,0.49,98.0,0.667,,,
tom_SPY:m4p3,tom,"-3,-2,-1,0,1,2,3",-,0.677,7.2,10.63,33.4,-0.159,0.63,0.76,0.97,0.43,98.0,0.616,,,
tom_eq15ew:m4p3,tom,"-3,-2,-1,0,1,2,3",-,0.673,7.03,10.43,33.4,-0.165,0.71,0.7,0.9,0.39,98.0,0.58,,,
tom_crypto2:m1p1,tom,"0,1",-,0.37,5.83,15.76,6.5,-0.388,,,1.13,0.21,74.0,0.694,,,
tom_xasset8rp:m1p3,tom,"0,1,2,3",-,0.362,1.31,3.62,19.1,-0.117,0.46,-0.18,0.85,0.26,80.0,0.546,,,
tom_crypto2:m1p3,tom,"0,1,2,3",-,0.338,7.91,23.39,13.0,-0.542,,,0.08,0.39,64.0,0.841,,,
tom_xasset8rp:m1p1,tom,"0,1",-,0.316,0.79,2.51,9.6,-0.078,0.56,0.05,0.22,0.31,94.0,0.347,,,
tom_bond3rp:m4p3,tom,"-3,-2,-1,0,1,2,3",-,0.291,1.28,4.4,33.4,-0.104,-0.08,-0.02,1.06,0.4,84.0,0.398,,,
tom_SPY:m1p3,tom,"0,1,2,3",-,0.278,2.17,7.81,19.1,-0.187,0.24,0.15,0.47,0.26,64.0,0.459,,,
tom_eq15ew:m1p3,tom,"0,1,2,3",-,0.268,2.06,7.71,19.1,-0.207,0.31,0.08,0.41,0.26,62.0,0.536,,,
tom_SPY:m1p1,tom,"0,1",-,0.108,0.61,5.66,9.6,-0.168,0.14,-0.26,0.34,0.21,54.0,0.441,,,
tom_bond3rp:m1p1,tom,"0,1",-,0.1,0.25,2.49,9.6,-0.073,-0.11,0.3,-0.08,0.26,88.0,0.182,,,
tom_eq15ew:m1p1,tom,"0,1",-,0.067,0.37,5.57,9.6,-0.147,0.24,-0.27,0.14,0.09,46.0,0.422,,,
tom_TLT:m4p3,tom,"-3,-2,-1,0,1,2,3",-,0.062,0.52,8.41,33.4,-0.314,-0.3,-0.28,0.61,0.32,61.0,0.292,,,
tom_TLT:m1p1,tom,"0,1",-,0.047,0.23,4.83,9.6,-0.131,-0.2,0.21,-0.02,0.18,71.0,0.235,,,
tom_bond3rp:m1p3,tom,"0,1,2,3",-,-0.12,-0.42,3.49,19.1,-0.196,-0.39,-0.61,0.53,0.05,22.0,0.324,,,
tom_TLT:m1p3,tom,"0,1,2,3",-,-0.313,-2.1,6.71,19.1,-0.46,-0.79,-0.7,0.34,-0.01,6.0,0.297,,,
