sleeve,sharpe,sortino,mc_p5,max_dd,months_in_profit,psr_gt0,ann_funding_%,ann_price_%,turnover,n_obs,family,signal,lb,top,rb
XScarry_voladj_top30,1.4530828023334466,2.5385455083043245,0.7917530516777066,-0.14508012716800778,0.6075949367088608,0.9999519859900334,17.218074451843556,52.927989887313764,1075.4781524031523,2404,carry_xs,voladj,7,0.3,1
XScarry_lvl3_top10_rb5,1.330891959056165,1.8817779882371102,0.7061938517145762,-0.2606580324318294,0.6708860759493671,0.9997206158119072,28.95722915376159,45.52009997260917,945.2714285714285,2404,carry_xs,level,3,0.1,5
XScarry_lvl3_top20_rb5,1.2976347266401913,1.9646788568781648,0.6351470332987571,-0.2877173643521773,0.620253164556962,0.999670755002157,25.35851844936039,50.6264297337288,826.6247373111925,2404,carry_xs,level,3,0.2,5
XScarry_lvl7_top20_rb5,1.2902290346199075,1.9086302054269944,0.6495585714692482,-0.21598195101747608,0.6455696202531646,0.9996219161252804,25.89009543655222,38.72499802493138,624.7642097668413,2404,carry_xs,level,7,0.2,5
XScarry_lvl14_top20_rb3,1.223953075442774,1.7112831875958796,0.6053503938152254,-0.23060106117532486,0.6582278481012658,0.9992876172418632,25.525830822079776,38.23392343746851,549.8119476498733,2404,carry_xs,level,14,0.2,3
XScarry_lvl7_top20_rb3,1.2090641137570985,1.8266641846068934,0.5953199174136992,-0.21702913402768875,0.6329113924050633,0.9993633323323664,26.69749963790341,40.72357850569389,801.0424845965867,2404,carry_xs,level,7,0.2,3
XScarry_lvl7_top20_rb1,1.2084941110709078,1.834295775227594,0.5809639645759846,-0.22276838619979666,0.6962025316455697,0.9992459159815116,28.44936683178163,39.57228711483486,1229.6921649815613,2404,carry_xs,level,7,0.2,1
XScarry_lvl14_top20_rb1,1.1709663321277664,1.66018636255807,0.5178645120570439,-0.22544150787988781,0.5949367088607594,0.9989068467065303,27.336751896418566,42.1285445617207,779.9580345694898,2404,carry_xs,level,14,0.2,1
XScarry_lvl14_top20_rb5,1.0929899320908083,1.8552739535017164,0.5388067678647239,-0.23635740187744803,0.620253164556962,0.9994836471910197,24.587891189063356,24.764055243537545,458.0209239676732,2404,carry_xs,level,14,0.2,5
XScarry_lvl7_top30_rb1,1.091914040081109,1.6879531088615152,0.48085335016998176,-0.33276176048344885,0.6329113924050633,0.9979137272317332,24.091555522252442,16.999390234590493,1005.1222165037516,2404,carry_xs,level,7,0.3,1
