,volprem,xs_momentum,breakout,crisis,trend_momentum,bab
volprem,1.0,-0.008297436238067864,-0.001720775131853305,0.06495282501656933,0.09834889784680999,0.12149314531392025
xs_momentum,-0.008297436238067864,1.0,0.2587275585975694,0.02627526169716951,0.06304583395646411,-0.033365601051527034
breakout,-0.001720775131853305,0.2587275585975694,1.0,0.08721398638966942,-0.11047786022821528,0.08206487468074788
crisis,0.06495282501656933,0.02627526169716951,0.08721398638966942,1.0,0.12024918801562907,0.0813075491464501
trend_momentum,0.09834889784680999,0.06304583395646411,-0.11047786022821528,0.12024918801562907,1.0,0.2747087283721142
bab,0.12149314531392025,-0.033365601051527034,0.08206487468074788,0.0813075491464501,0.2747087283721142,1.0
