sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
HBARUSDT_1h_breakout,crypto,1h,HBARUSDT,-0.6345519120578247,,,-0.43377078317372886,0.4307692307692308,59.007756091214475,-6.004658578521981,1963,False
1000SHIBUSDT_1h_breakout,crypto,1h,1000SHIBUSDT,0.2813955147786476,,,-0.22179991051603898,0.5079365079365079,58.372620875779134,-4.634594928863487,1909,False
AVAXUSDT_1h_breakout,crypto,1h,AVAXUSDT,0.1450454552275809,,,-0.2416790117067108,0.5492957746478874,54.25965043900014,-4.615856325464278,2138,False
SUIUSDT_1h_breakout,crypto,1h,SUIUSDT,0.8700390244252799,0.005907842217237004,0.9224791615969476,-0.10648476669296791,0.5128205128205128,47.95275382742776,-4.475494558988348,1186,True
UNIUSDT_1h_breakout,crypto,1h,UNIUSDT,-0.5441218936553112,,,-0.3943745859969856,0.39436619718309857,54.483178506985965,-6.250185430244101,2143,False
NEARUSDT_1h_breakout,crypto,1h,NEARUSDT,0.04813457552175251,,,-0.19830140156174236,0.5142857142857142,47.52317463011047,-4.45677848918993,2116,False
DOTUSDT_1h_breakout,crypto,1h,DOTUSDT,-0.16481680342245214,,,-0.36286196666198345,0.4722222222222222,60.19356192216284,-5.5549109890149,2170,False
AAVEUSDT_1h_breakout,crypto,1h,AAVEUSDT,0.049258808851097714,,,-0.19172170153358514,0.42857142857142855,50.69660552292605,-4.884813750313558,2115,False
1000PEPEUSDT_1h_breakout,crypto,1h,1000PEPEUSDT,0.5103900107433723,-0.37169221820753884,0.5108720803712049,-0.1591267814201094,0.5641025641025641,44.088713659551566,-3.0230746552449244,1184,False
ICPUSDT_1h_breakout,crypto,1h,ICPUSDT,-0.10142482114940367,,,-0.19373184173323266,0.4444444444444444,50.303860116490185,-6.001573496825957,1908,False
ETCUSDT_1h_breakout,crypto,1h,ETCUSDT,0.04032567288739936,,,-0.34565390734610013,0.4810126582278481,61.207818511182204,-6.089410979317758,2389,False
ALGOUSDT_1h_breakout,crypto,1h,ALGOUSDT,-0.06339939014410868,,,-0.3287991691642679,0.47297297297297297,52.35979143994714,-6.705164637444205,2237,False
ATOMUSDT_1h_breakout,crypto,1h,ATOMUSDT,-0.3564786555121432,,,-0.4299215783607341,0.4358974358974359,58.74545223965261,-5.942512017621859,2367,False
FILUSDT_1h_breakout,crypto,1h,FILUSDT,0.5439028317283886,-0.18386778479004157,0.5317318116559213,-0.26441104903373414,0.5571428571428572,51.79722504634598,-4.614534129698163,2115,False
ARBUSDT_1h_breakout,crypto,1h,ARBUSDT,0.5905217548299408,-0.2609421555523522,0.6008310992104715,-0.13194868198082443,0.5609756097560976,54.958723778720014,-5.340877678882506,1227,False
APTUSDT_1h_breakout,crypto,1h,APTUSDT,-0.18286455917009137,,,-0.27162891073409645,0.5,54.17740143264512,-5.0710960344750875,1382,False
INJUSDT_1h_breakout,crypto,1h,INJUSDT,0.4533750737358792,,,-0.12858077083668173,0.5208333333333334,45.8311071355157,-5.263178650455583,1445,False
DASHUSDT_1h_breakout,crypto,1h,DASHUSDT,-0.1330888629540695,,,-0.30704042143805843,0.44871794871794873,56.51337805973967,-7.722746446992141,2370,False
VETUSDT_1h_breakout,crypto,1h,VETUSDT,-0.04703642046610998,,,-0.39045328916123834,0.44871794871794873,55.40111280828487,-6.1794206628663995,2360,False
FETUSDT_1h_breakout,crypto,1h,FETUSDT,0.28215146270906777,,,-0.13177852582075766,0.5348837209302325,44.6411989392791,-5.9238320184892075,1292,False
CRVUSDT_1h_breakout,crypto,1h,CRVUSDT,-0.5329590643483936,,,-0.4325453692395548,0.43661971830985913,42.474037824856424,-5.378817327800841,2160,False
1000LUNCUSDT_1h_breakout,crypto,1h,1000LUNCUSDT,-0.00943301200275838,,,-0.25583210713321536,0.40425531914893614,52.79793323287686,-5.911040599768973,1422,False
STXUSDT_1h_breakout,crypto,1h,STXUSDT,0.5964020055897568,-0.18644892780378353,0.6068244006490329,-0.21159039270934343,0.5476190476190477,51.56273111898211,-5.700970788089456,1257,False
LDOUSDT_1h_breakout,crypto,1h,LDOUSDT,-0.13835466052019552,,,-0.23764689717295295,0.44680851063829785,49.31118255152675,-5.110346014739901,1409,False
IMXUSDT_1h_breakout,crypto,1h,IMXUSDT,-0.31239330275266913,,,-0.277478830361799,0.46296296296296297,47.837150796997264,-6.052406629921816,1632,False
XTZUSDT_1h_breakout,crypto,1h,XTZUSDT,-0.3601019240615093,,,-0.38338469535616404,0.3974358974358974,55.31633680992824,-7.496463388446082,2368,False
JASMYUSDT_1h_breakout,crypto,1h,JASMYUSDT,0.0025675729528616383,,,-0.20935046940541402,0.38461538461538464,46.141781076406666,-6.509703497816771,1564,False
CFXUSDT_1h_breakout,crypto,1h,CFXUSDT,0.13049674914017104,,,-0.18687238060512112,0.4523809523809524,50.611174493226336,-5.601278578732806,1258,False
OPUSDT_1h_breakout,crypto,1h,OPUSDT,0.2034041070904946,,,-0.16037413338779727,0.48,50.25352761983268,-5.491999058181953,1522,False
1000FLOKIUSDT_1h_breakout,crypto,1h,1000FLOKIUSDT,0.07236493024417912,,,-0.1999679247109618,0.5128205128205128,47.80251500002547,-4.703005047536744,1183,False
ENSUSDT_1h_breakout,crypto,1h,ENSUSDT,-0.1823104754953679,,,-0.23834854341389933,0.38596491228070173,51.7514594041682,-6.155074263432286,1705,False
COMPUSDT_1h_breakout,crypto,1h,COMPUSDT,-0.2570135590242888,,,-0.26608705904226904,0.43243243243243246,51.970706341763396,-6.0932749684169885,2223,False
GRTUSDT_1h_breakout,crypto,1h,GRTUSDT,-0.10663600393880443,,,-0.23729282747765001,0.4264705882352941,48.93166786838066,-5.557782913262459,2051,False
IOTAUSDT_1h_breakout,crypto,1h,IOTAUSDT,-0.30623914600802044,,,-0.46033936070387427,0.4230769230769231,53.97278005327503,-7.436831281062312,2362,False
RUNEUSDT_1h_breakout,crypto,1h,RUNEUSDT,0.24019433232549842,,,-0.2315707042596653,0.4788732394366197,50.80223389853071,-5.588313226177259,2157,False
AAPL_1h_breakout,equity,1h,AAPL,0.14722354508438176,,,-0.22512649854724165,0.532608695652174,29.70516889707843,-1.3753092151698398,2767,False
ABBV_1h_breakout,equity,1h,ABBV,-0.5642785111252762,,,-0.5261063571519129,0.3804347826086957,32.20168061209026,-1.329574651405114,2767,False
ADBE_1h_breakout,equity,1h,ADBE,0.07510190450485595,,,-0.3025912445961577,0.5217391304347826,23.024182583208677,-0.928525455281171,2767,False
AMD_1h_breakout,equity,1h,AMD,0.05463140067660554,,,-0.1667297390093898,0.42391304347826086,15.242001270684444,-0.39210316854082217,2767,False
AMZN_1h_breakout,equity,1h,AMZN,-0.3203136305554833,,,-0.4816358606539999,0.43478260869565216,27.684717709752466,-1.4413980804959212,2767,False
BA_1h_breakout,equity,1h,BA,0.46044202272737056,,,-0.23443133758538126,0.4891304347826087,22.03268299452248,-1.5653595189163614,2767,False
BAC_1h_breakout,equity,1h,BAC,0.14887674846082855,,,-0.21655268278336137,0.4891304347826087,29.08743181091429,-1.6855176440838067,2767,False
C_1h_breakout,equity,1h,C,0.3867866792689113,,,-0.1320705880304417,0.44565217391304346,25.599924132460067,-1.2192544788139232,2767,False
CAT_1h_breakout,equity,1h,CAT,0.2649941106453011,,,-0.16578915594928012,0.45652173913043476,25.88692467178504,-1.3881837597187294,2767,False
COP_1h_breakout,equity,1h,COP,-0.2498105020336275,,,-0.3865950725511196,0.40217391304347827,23.87780662897613,-0.5337539146748881,2767,False
COST_1h_breakout,equity,1h,COST,-0.003226973195007062,,,-0.25767950191522004,0.43478260869565216,36.45280353881908,-1.4649856568802302,2767,False
CRM_1h_breakout,equity,1h,CRM,0.3184210050968331,,,-0.18036364282715278,0.43478260869565216,22.40423781001634,-0.8047405896403488,2767,False
CSCO_1h_breakout,equity,1h,CSCO,-0.15047940536737095,,,-0.3688448156488049,0.5,33.721187570761266,-1.7923230901467193,2767,False
CVX_1h_breakout,equity,1h,CVX,-0.19447933869888853,,,-0.3684448540214169,0.42391304347826086,29.627509684523215,-1.6686469906383508,2767,False
DIS_1h_breakout,equity,1h,DIS,0.036562757157196264,,,-0.22684366101865772,0.3695652173913043,30.568626881385757,-1.1266077179546914,2767,False
