kind,signal,sharpe,oos,mc_p5,placebo
equity,momentum_120,0.02839097353552455,0.04570117264413113,,-0.24345462296809525
equity,momentum_252,0.4393290832846742,0.6646125671057809,-0.0930893716718542,-0.7611923703345151
equity,breakout_near_126,-0.545760000218253,-0.47558642551916114,,-0.26582389855493427
equity,breakout_near_252,-0.38489959090220405,-0.31759923001354506,,-0.48263015108998664
equity,breakout_donch_120,-0.457290769823814,-0.0725495300239152,,-0.44874960644727335
crypto,momentum_120,0.7087418655336827,0.4274260212179937,0.03042887331989707,-2.1879307997139814
crypto,momentum_252,0.49765160723694535,1.5045769555198723,-0.11510957865349095,-2.242843048473079
crypto,breakout_near_126,1.031338203360712,0.8565240298314982,0.38281279118501294,-2.313060441666872
crypto,breakout_near_252,0.3898223805776811,0.7360276597024673,-0.2546571730466438,-1.9479940695867257
crypto,breakout_donch_120,1.0043368365885574,0.5180603671624828,0.3744780407801753,-2.535610299861485
