sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
MSFT_1d_breakout,equity,1d,MSFT,-0.003468379258532629,,,-0.38674695920835434,0.4090909090909091,5.169852935541276,-0.33114300690121795,5328,False
NFLX_1d_breakout,equity,1d,NFLX,0.3242872240541191,,,-0.24216968514198378,0.4943181818181818,3.08181108616669,-0.1132449651396251,5328,False
NKE_1d_breakout,equity,1d,NKE,0.07135288942686908,,,-0.48633682720058036,0.4090909090909091,4.995249904653617,-0.14230386238887682,5328,False
NVDA_1d_breakout,equity,1d,NVDA,0.22853803903928707,,,-0.4157858620478997,0.42045454545454547,3.3743966107032786,-0.1882207922181136,5328,False
ORCL_1d_breakout,equity,1d,ORCL,-0.4494821208947453,,,-0.7637473564765367,0.32954545454545453,5.86989133824756,-0.497292370297212,5328,False
PEP_1d_breakout,equity,1d,PEP,-0.22753123939688827,,,-0.6427472545070397,0.3522727272727273,8.017879303383058,-0.33920089812693205,5328,False
PFE_1d_breakout,equity,1d,PFE,-0.09253924439093456,,,-0.47532689428939345,0.3409090909090909,5.481549910850376,0.06225537408593448,5328,False
PG_1d_breakout,equity,1d,PG,-0.2464615008098389,,,-0.5604631515488794,0.3693181818181818,7.8509069299571905,-0.4264293044920408,5328,False
QCOM_1d_breakout,equity,1d,QCOM,0.017922993181103335,,,-0.42726020795912134,0.3977272727272727,4.4563495497588725,-0.3029397138880862,5328,False
QQQ_1d_breakout,equity,1d,QQQ,-0.08222367700008322,,,-0.4190992773948886,0.42045454545454547,7.714725892338569,-0.2089175398522917,5328,False
SBUX_1d_breakout,equity,1d,SBUX,0.20492298102018044,,,-0.3380199652991075,0.4147727272727273,4.7789128245763965,-0.4923403958352721,5328,False
SHY_1d_breakout,equity,1d,SHY,-0.23261121398303733,,,-0.15797905661093414,0.32954545454545453,22.7027027027027,-2.4305825404609567,5328,False
SLB_1d_breakout,equity,1d,SLB,-0.03234595545038318,,,-0.5487210993552358,0.3977272727272727,4.130535527173464,0.24948978191531834,5328,False
SLV_1d_breakout,equity,1d,SLV,-0.059132067532747246,,,-0.6191040547009559,0.39204545454545453,6.18774915539045,-0.15073483396609663,5328,False
SPY_1d_breakout,equity,1d,SPY,-0.16012401459118286,,,-0.5825183892638806,0.4431818181818182,10.294004395991895,-0.0236072585240729,5328,False
T_1d_breakout,equity,1d,T,-0.2713957381976886,,,-0.6485125222176207,0.3693181818181818,6.614414381737702,0.03802567812765203,5328,False
TIP_1d_breakout,equity,1d,TIP,-0.14856686990206447,,,-0.450157593206146,0.36363636363636365,22.093062294087524,-0.7180055874093315,5328,False
TLT_1d_breakout,equity,1d,TLT,0.07898325010897414,,,-0.2535192989317694,0.4034090909090909,10.632694876072001,-0.6709135772749906,5328,False
TXN_1d_breakout,equity,1d,TXN,-0.004848074543165133,,,-0.48779089822673716,0.3693181818181818,4.414807745565188,-0.48654397441088393,5328,False
UNG_1d_breakout,equity,1d,UNG,-0.10306177561710589,,,-0.3937351853100769,0.375,3.4747336428237405,-0.3445965665799617,5328,False
UNH_1d_breakout,equity,1d,UNH,-0.42308283369463573,,,-0.7158658788435828,0.32954545454545453,5.708612134460936,-0.49226766964157237,5328,False
USO_1d_breakout,equity,1d,USO,0.2960080239659323,,,-0.36259807791537135,0.42045454545454547,4.507884094389151,0.10229831459814592,5328,False
V_1d_breakout,equity,1d,V,-0.2174472989136558,,,-0.6105779614499338,0.35795454545454547,5.535355018747246,-0.6688143608572358,5328,False
VZ_1d_breakout,equity,1d,VZ,-0.42724846138222405,,,-0.6985256352688816,0.3125,7.053028265949525,-0.2318316092292444,5328,False
WFC_1d_breakout,equity,1d,WFC,-0.28420636160750373,,,-0.5812270525363559,0.32954545454545453,5.456362729113245,-0.11136252860306319,5328,False
WMT_1d_breakout,equity,1d,WMT,-0.10966512031426778,,,-0.5425191422938956,0.39204545454545453,7.024012036055524,0.15451814986504295,5328,False
XLB_1d_breakout,equity,1d,XLB,-0.43916020802092814,,,-0.7064824617160199,0.3068181818181818,8.305822726276563,-0.295940284884605,5328,False
XLE_1d_breakout,equity,1d,XLE,-0.024827291826960047,,,-0.5202402829578825,0.3465909090909091,6.060953187265202,-0.12484925283186872,5328,False
XLF_1d_breakout,equity,1d,XLF,-0.3741277684194505,,,-0.700188786316051,0.375,8.672401328226345,-0.7233827139380222,5328,False
XLI_1d_breakout,equity,1d,XLI,-0.3332340232507294,,,-0.644319598825317,0.4147727272727273,9.34638720136215,0.09620765185281357,5328,False
XLK_1d_breakout,equity,1d,XLK,-0.13871326697396646,,,-0.5482736124304055,0.42613636363636365,7.782452183164017,-0.4263494461992632,5328,False
XLP_1d_breakout,equity,1d,XLP,-0.49230078744616435,,,-0.7711081652222347,0.32386363636363635,11.425806514266998,-0.564412608450681,5328,False
XLRE_1d_breakout,equity,1d,XLRE,-0.4268207240533825,,,-0.5837015343059706,0.2595419847328244,7.431255850504466,-0.4160215928360473,3954,False
XLU_1d_breakout,equity,1d,XLU,-0.3942955144871362,,,-0.7058024126533557,0.32954545454545453,8.689426390923863,-0.15432766567862763,5328,False
XLV_1d_breakout,equity,1d,XLV,-0.19931742753345805,,,-0.5899090345145453,0.3522727272727273,9.317107714687365,-0.3697135973376985,5328,False
XLY_1d_breakout,equity,1d,XLY,-0.17745264867610333,,,-0.5092627201165807,0.3409090909090909,8.374806637422205,-0.3723789649236069,5328,False
XOM_1d_breakout,equity,1d,XOM,-0.2317514014996135,,,-0.5849876279569077,0.38636363636363635,6.377206912507183,-0.21585656309857404,5328,False
AUDJPY=X_1d_breakout,fx,1d,AUDJPY=X,0.11374983913579904,,,-0.41173488539488123,0.36363636363636365,9.548127319425118,0.1912523307860435,5330,False
AUDNZD=X_1d_breakout,fx,1d,AUDNZD=X,-0.3341619202286625,,,-0.5702251992949079,0.2215909090909091,11.16621479068776,-0.24183220962760382,5330,False
AUDUSD=X_1d_breakout,fx,1d,AUDUSD=X,-0.06513673416331303,,,-0.5154068637186778,0.3806818181818182,10.946542548503308,0.04915585279002151,5330,False
CADJPY=X_1d_breakout,fx,1d,CADJPY=X,-0.04258596351195891,,,-0.3818992117383486,0.3125,11.124579901625193,0.029923522009322853,5330,False
CHFJPY=X_1d_breakout,fx,1d,CHFJPY=X,-0.052195806706603745,,,-0.5528338284563891,0.35795454545454547,11.396801900892875,-0.19978148139416277,5330,False
EURAUD=X_1d_breakout,fx,1d,EURAUD=X,0.11447166543606412,,,-0.3333020697669241,0.3125,11.307905170873418,-0.17080354383408952,5330,False
EURCAD=X_1d_breakout,fx,1d,EURCAD=X,-0.12477391467261564,,,-0.3904413777009923,0.26704545454545453,10.352705154837249,-0.21865981071700102,5330,False
EURCHF=X_1d_breakout,fx,1d,EURCHF=X,-0.14231534153420872,,,-0.3774482903457663,0.26704545454545453,10.854041026663745,-0.022089072515392737,5330,False
EURGBP=X_1d_breakout,fx,1d,EURGBP=X,-0.314760522116136,,,-0.571811275364777,0.23863636363636365,12.912836169563077,-0.2865986447192097,5330,False
EURJPY=X_1d_breakout,fx,1d,EURJPY=X,-0.04797130775368001,,,-0.45385758626875294,0.3352272727272727,12.635633494504777,0.03542787977839949,5330,False
