kind,sym,tf,config,sharpe,max_dd,months_in_profit,ann_turnover,n_obs,placebo_sharpe
crypto,BTCUSDT,1d,base_d55_tb,0.36556003151000604,-0.09532302410333449,0.31645569620253167,6.012297038398185,2404,-0.06533545222447423
crypto,BTCUSDT,1d,d55_rev,0.2725740737781276,-0.24188387678598222,0.4430379746835443,2.6690750989712106,2404,-0.375751740293585
crypto,BTCUSDT,1d,d55_atr3,0.4501739689577293,-0.13061285092365138,0.379746835443038,3.186149322474377,2404,-0.44786123274233025
crypto,BTCUSDT,1d,d55_atr3_tr,0.4570103690132074,-0.13061285092365138,0.379746835443038,3.1833827534545884,2404,-0.37339577535685864
crypto,BTCUSDT,1d,d55_atr3_vol,0.49548120709881466,-0.13061285092365071,0.3670886075949367,3.0450133305029587,2404,-0.9156837982248749
crypto,BTCUSDT,1d,d55_chan20,0.4425074330044032,-0.1517561023224856,0.3924050632911392,3.3344431244272075,2404,0.11334038906687842
crypto,BTCUSDT,1d,d20_chan10,0.2942153434108433,-0.3456954303118114,0.4177215189873418,6.156906382184109,2404,-0.5965396861321814
crypto,BTCUSDT,1d,boll_atr3,0.2244396504169309,-0.30799674910581953,0.4430379746835443,5.329361357577792,2404,-0.4409898676865047
crypto,BTCUSDT,1d,kelt_atr3,0.36507518420144586,-0.2059297104263037,0.3924050632911392,3.638217188185679,2404,-0.1727477243072255
crypto,ETHUSDT,1d,base_d55_tb,0.5790880838895301,-0.09970531746252387,0.379746835443038,4.5144529856891635,2404,-0.12855410325149547
crypto,ETHUSDT,1d,d55_rev,0.36077473237571916,-0.2938964418975857,0.46835443037974683,1.9330236359333035,2404,0.35212670727596895
crypto,ETHUSDT,1d,d55_atr3,0.7920390320852685,-0.1665592442976428,0.4177215189873418,2.2953509100864586,2404,-0.7410408995873942
crypto,ETHUSDT,1d,d55_atr3_tr,0.7920390320852685,-0.1665592442976428,0.4177215189873418,2.2953509100864586,2404,-0.481180963866155
crypto,ETHUSDT,1d,d55_atr3_vol,0.772352325584836,-0.17812823874993866,0.3924050632911392,2.233148710763657,2404,0.5134143741899309
crypto,ETHUSDT,1d,d55_chan20,0.6785342871267485,-0.21118069997291,0.43037974683544306,2.2125457879649595,2404,-0.012628143459353276
crypto,ETHUSDT,1d,d20_chan10,0.41044080473556543,-0.3075367471634206,0.45569620253164556,4.620272964970473,2404,-0.28966793592752743
crypto,ETHUSDT,1d,boll_atr3,0.6815217790698478,-0.28325913113980716,0.4936708860759494,3.5320535413207157,2404,-0.4863587648440767
crypto,ETHUSDT,1d,kelt_atr3,0.5340531052640267,-0.22896815271259363,0.4050632911392405,2.728261781621527,2404,-0.14650723468631685
crypto,BNBUSDT,1d,base_d55_tb,-0.05481242722510971,-0.16315000637534394,0.20512820512820512,4.898140999303632,2364,0.4454985735673392
crypto,BNBUSDT,1d,d55_rev,0.8348811295666055,-0.26232377283026953,0.5384615384615384,1.8978139523430184,2364,-0.10175314721221419
crypto,BNBUSDT,1d,d55_atr3,0.9100912293744734,-0.1337908820636129,0.38461538461538464,2.4603262942545894,2364,-0.558313963334729
crypto,BNBUSDT,1d,d55_atr3_tr,0.9100912293744734,-0.1337908820636129,0.38461538461538464,2.4603262942545894,2364,-0.4168350975235471
crypto,BNBUSDT,1d,d55_atr3_vol,0.8652928094359499,-0.14320675092922242,0.358974358974359,2.4536938896209906,2364,-0.14039579376182335
crypto,BNBUSDT,1d,d55_chan20,0.819824747877099,-0.18161453108741554,0.3974358974358974,2.403420465156774,2364,-0.21492590841531597
crypto,BNBUSDT,1d,d20_chan10,0.5562709439347664,-0.25751710188160604,0.41025641025641024,5.1299417795194335,2364,-0.5799653279318477
crypto,BNBUSDT,1d,boll_atr3,1.053869352105277,-0.14447316366154883,0.5,3.804050776604275,2364,0.3309760858573864
crypto,BNBUSDT,1d,kelt_atr3,1.050632261429395,-0.1562215379596379,0.46153846153846156,2.7533150823346673,2364,-0.7395693797603982
crypto,XRPUSDT,1d,base_d55_tb,0.8678473619743601,-0.07066197730047996,0.22784810126582278,2.5540676040570913,2399,-0.3155653622880981
crypto,XRPUSDT,1d,d55_rev,0.6620305675545964,-0.24099236580810912,0.5189873417721519,1.2977145125792493,2399,-0.4962321149861606
crypto,XRPUSDT,1d,d55_atr3,0.5754609422753033,-0.1651220997947308,0.27848101265822783,1.740308739023832,2399,-0.33291233595810127
crypto,XRPUSDT,1d,d55_atr3_tr,0.5754609422753033,-0.1651220997947308,0.27848101265822783,1.740308739023832,2399,0.0650430613735268
crypto,XRPUSDT,1d,d55_atr3_vol,0.5754609422753033,-0.1651220997947308,0.27848101265822783,1.740308739023832,2399,-0.07135418785941937
crypto,XRPUSDT,1d,d55_chan20,0.5124500876898365,-0.19681630398008265,0.3291139240506329,1.6838040894390616,2399,-0.626869540283359
crypto,XRPUSDT,1d,d20_chan10,0.4730748286436707,-0.26398260588865563,0.4050632911392405,3.9867830788777554,2399,-0.7875428387331272
crypto,XRPUSDT,1d,boll_atr3,0.04476352488871476,-0.406327826491664,0.45569620253164556,3.7261792708391654,2399,0.26712227862923743
crypto,XRPUSDT,1d,kelt_atr3,0.5678039393242414,-0.16062207002498508,0.31645569620253167,1.9984031458599627,2399,-0.17727072558309348
crypto,SOLUSDT,1d,base_d55_tb,0.37077624055155345,-0.15107725004081118,0.28169014084507044,3.2645494435014775,2147,0.49106843054164817
crypto,SOLUSDT,1d,d55_rev,0.07022384066101506,-0.34323717374414486,0.4788732394366197,1.4274267724678567,2147,0.4143654948750473
crypto,SOLUSDT,1d,d55_atr3,0.1684302618418245,-0.2815833949594835,0.323943661971831,1.785918196684278,2147,-0.12253504856533168
crypto,SOLUSDT,1d,d55_atr3_tr,0.12243951667498355,-0.2815833949594848,0.30985915492957744,1.7854389484778665,2147,-0.2608750491924582
crypto,SOLUSDT,1d,d55_atr3_vol,0.25857775170299424,-0.2698816529489889,0.323943661971831,1.6292680603425083,2147,-0.24248777142218064
crypto,SOLUSDT,1d,d55_chan20,0.13996060863285079,-0.3104522907471766,0.38028169014084506,1.7296225478976595,2147,-1.016616017394356
crypto,SOLUSDT,1d,d20_chan10,0.26901000940058983,-0.33836161752764293,0.4647887323943662,3.5148227993841124,2147,-0.21815916056222062
crypto,SOLUSDT,1d,boll_atr3,0.23655038242141088,-0.3413776186073456,0.4507042253521127,2.890881272107824,2147,0.09222038627470931
crypto,SOLUSDT,1d,kelt_atr3,0.1027565152214194,-0.36805091057862016,0.38028169014084506,2.18443479465034,2147,0.5272767551307832
crypto,TRXUSDT,1d,base_d55_tb,-0.08531915165887291,-0.13727053276195444,0.25316455696202533,7.097981724953685,2390,0.14607059288942303
crypto,TRXUSDT,1d,d55_rev,0.6501003464288703,-0.2447376683024266,0.5316455696202531,2.423231482291843,2390,0.48841457216759665
