kind,cadence,signal,sharpe,mc_p5,max_dd,sharpe_is,sharpe_oos,placebo
equity,daily,nearness_252,-0.7484997182171473,,-0.7914482241689886,-0.7603234718601578,-0.6721614761105458,-11.985017426133842
equity,daily,nearness_126,-1.0425315397030415,,-0.8869263448094737,-1.059150109799937,-0.9337753396671197,-11.71258865791737
equity,daily,donchian_55,-1.6381389203201233,,-0.9681062705820663,-1.7436510416102364,-0.95693203528339,-11.570007973341227
equity,daily,donchian_120,-1.0108383586581933,,-0.88541053396308,-1.086835362429004,-0.4993250624321725,-11.903171523243403
equity,monthly,nearness_252,-0.38489959090220405,,-0.58160782685989,-0.39541933015045677,-0.31759923001354506,-0.44874960644727335
equity,monthly,nearness_126,-0.545760000218253,,-0.7053925832646715,-0.5566068099487395,-0.47558642551916114,-0.5294930378995297
equity,monthly,donchian_55,-0.7158046488753713,,-0.8246116955380551,-0.8372108124439843,0.06271804727183529,-0.6514203206748765
equity,monthly,donchian_120,-0.457290769823814,,-0.6689871742933511,-0.5149404305801728,-0.0725495300239152,-0.04467214588474541
crypto,daily,nearness_252,0.3898223805776811,-0.2546571730466438,-0.2275193158798573,0.2381430128780363,0.7360276597024673,-1.701212736309706
crypto,daily,nearness_126,1.031338203360712,0.38281279118501294,-0.187484665938766,1.1091310963894012,0.8565240298314982,-2.0429877966073344
crypto,daily,donchian_55,0.6459425640942532,-0.004957797293616947,-0.29128530679042275,0.582418046498352,0.7874684330210113,-2.7352213192466994
crypto,daily,donchian_120,1.0043368365885574,0.3744780407801753,-0.1994538050087764,1.2226520631427897,0.5180603671624828,-2.795154164510843
crypto,monthly,nearness_252,0.4127538848597079,-0.12846851333251819,-0.3448202251367075,0.2966043439337481,0.6649891387492503,-0.09775368126953099
crypto,monthly,nearness_126,0.5379955137089212,-0.03790162675102726,-0.2375670922367038,0.5680226891646424,0.4718323702332322,0.2840032452400166
crypto,monthly,donchian_55,0.19728728783751304,,-0.2922391702521012,0.09689609709828054,0.4251065601185409,-0.2861130933127934
crypto,monthly,donchian_120,0.3591388728810604,-0.30020440356497086,-0.26200450983402357,0.31217898137748984,0.4621618503297354,0.032682680477642785
fx,daily,nearness_252,0.012496916749869967,,-0.4005718090185544,-0.026013377442795475,0.20241766996273075,-2.572626117611729
fx,daily,nearness_126,-0.42813618366087053,,-0.6165807078599758,-0.5433482579230792,0.15418649668856904,-2.0343289031017937
fx,daily,donchian_55,-0.26108028649301945,,-0.6086404938365398,-0.23750863223166016,-0.37578732040753876,-2.183672131776993
fx,daily,donchian_120,-0.22250327609831888,,-0.5927699819697871,-0.2678307144687031,0.007272648578542197,-2.1113979291543528
fx,monthly,nearness_252,0.12551355751853413,,-0.3451914220980711,0.07152975791691636,0.39161148446218685,-0.11877274008850312
fx,monthly,nearness_126,-0.27268966648896914,,-0.6013606639262128,-0.4634096043806641,0.6741196804471115,-0.28323308731669156
fx,monthly,donchian_55,-0.3046761168994005,,-0.660518137968588,-0.47649562684482805,0.564214530325882,0.2689486536165263
fx,monthly,donchian_120,0.046798904700786875,,-0.5159698179872687,-0.10280509560954913,0.8097752629074827,0.12232379038204823
