,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
PIT-top10 naive,3.96,1.08,0.86,1.55,1.73,0.2,0.98,0.84,-0.05,-0.02
PIT-top10 tradeable,4.7,-0.58,1.2,1.55,1.73,0.2,0.98,0.84,-0.05,-0.02
PIT-top10 long_only,4.7,-0.58,1.33,2.3,2.07,-1.58,1.45,1.54,0.33,-1.17
frozen-core10 naive,2.47,1.17,1.22,1.74,3.06,0.46,1.15,0.98,-0.16,-0.36
frozen-core10 tradeable,3.88,-0.56,1.66,1.74,3.06,0.46,1.15,0.98,-0.16,-0.36
frozen-core10 long_only,3.88,-0.56,2.07,2.59,3.42,-0.88,1.87,1.75,0.05,-3.21
