kind,sym,tf,exit,sharpe,mc_p5,max_dd,months_in_profit,ann_turnover
crypto,BTCUSDT,1d,triple_barrier,0.36556003151000604,,-0.09532302410333449,0.31645569620253167,6.012297038398185
crypto,BTCUSDT,1d,time,0.5179225785356111,-0.1086327490935604,-0.13208977819609125,0.34177215189873417,4.437862637932244
crypto,BTCUSDT,1d,channel,0.4425074330044032,,-0.1517561023224856,0.3924050632911392,3.3344431244272075
crypto,BTCUSDT,1d,atr_trailing,0.4501739689577293,,-0.13061285092365138,0.379746835443038,3.186149322474377
crypto,BTCUSDT,1d,reversal,0.2725740737781276,,-0.24188387678598222,0.4430379746835443,2.6690750989712106
crypto,ETHUSDT,1d,triple_barrier,0.5790880838895301,-0.0924280462527233,-0.09970531746252387,0.379746835443038,4.5144529856891635
crypto,ETHUSDT,1d,time,0.6054212369451715,-0.024549849958065494,-0.10972742364684707,0.3924050632911392,3.452834906515735
crypto,ETHUSDT,1d,channel,0.6785342871267485,0.09907780976311116,-0.21118069997291,0.43037974683544306,2.2125457879649595
crypto,ETHUSDT,1d,atr_trailing,0.7920390320852685,0.2336318322654286,-0.1665592442976428,0.4177215189873418,2.2953509100864586
crypto,ETHUSDT,1d,reversal,0.36077473237571916,,-0.2938964418975857,0.46835443037974683,1.9330236359333035
crypto,SOLUSDT,1d,triple_barrier,0.37077624055155345,,-0.15107725004081118,0.28169014084507044,3.2645494435014775
crypto,SOLUSDT,1d,time,0.23596383990091246,,-0.21745057744009333,0.2535211267605634,2.47686738663456
crypto,SOLUSDT,1d,channel,0.13996060863285079,,-0.3104522907471766,0.38028169014084506,1.7296225478976595
crypto,SOLUSDT,1d,atr_trailing,0.1684302618418245,,-0.2815833949594835,0.323943661971831,1.785918196684278
crypto,SOLUSDT,1d,reversal,0.07022384066101506,,-0.34323717374414486,0.4788732394366197,1.4274267724678567
crypto,BNBUSDT,1d,triple_barrier,-0.05481242722510971,,-0.16315000637534394,0.20512820512820512,4.898140999303632
crypto,BNBUSDT,1d,time,0.28891837109704793,,-0.1990836427390119,0.23076923076923078,3.7158936044761277
crypto,BNBUSDT,1d,channel,0.819824747877099,0.2696801789109635,-0.18161453108741554,0.3974358974358974,2.403420465156774
crypto,BNBUSDT,1d,atr_trailing,0.9100912293744734,0.33670243042770936,-0.1337908820636129,0.38461538461538464,2.4603262942545894
crypto,BNBUSDT,1d,reversal,0.8348811295666055,0.2316439941437562,-0.26232377283026953,0.5384615384615384,1.8978139523430184
crypto,XRPUSDT,1d,triple_barrier,0.8678473619743601,0.35597471704061706,-0.07066197730047996,0.22784810126582278,2.5540676040570913
crypto,XRPUSDT,1d,time,0.860292870084127,0.08802927145976931,-0.14012856629873316,0.25316455696202533,1.9773933357066429
crypto,XRPUSDT,1d,channel,0.5124500876898365,-0.21694279490225182,-0.19681630398008265,0.3291139240506329,1.6838040894390616
crypto,XRPUSDT,1d,atr_trailing,0.5754609422753033,-0.2104542939602746,-0.1651220997947308,0.27848101265822783,1.740308739023832
crypto,XRPUSDT,1d,reversal,0.6620305675545964,0.07154198738131189,-0.24099236580810912,0.5189873417721519,1.2977145125792493
crypto,ADAUSDT,1d,triple_barrier,0.6910617593821154,0.03448168639993284,-0.0832133537823696,0.3037974683544304,3.659337778451254
crypto,ADAUSDT,1d,time,0.9548333511437526,0.3315587527126843,-0.1295765529780556,0.34177215189873417,2.636926379930091
crypto,ADAUSDT,1d,channel,0.7161928552731468,0.06916986570511875,-0.2100041176893801,0.3924050632911392,1.8231645516087316
crypto,ADAUSDT,1d,atr_trailing,0.8038186676800495,0.15508122932346236,-0.15651282165074698,0.3670886075949367,1.912879879769258
crypto,ADAUSDT,1d,reversal,0.8041569165561165,0.16704085525601664,-0.28157405461381524,0.45569620253164556,1.4382633264136198
crypto,AVAXUSDT,1d,triple_barrier,1.092515660179628,0.405362291438711,-0.06870640318714805,0.352112676056338,2.944834758998126
crypto,AVAXUSDT,1d,time,1.4187928706667166,0.7641873244184091,-0.07561525064800445,0.4225352112676056,2.5172620697025883
crypto,AVAXUSDT,1d,channel,0.9208988257921357,0.2665315644680017,-0.22782999508521862,0.38028169014084506,1.6304222611566248
crypto,AVAXUSDT,1d,atr_trailing,0.9691144277561363,0.23698524002620816,-0.1890166761587041,0.38028169014084506,1.6706594648166204
crypto,AVAXUSDT,1d,reversal,0.8361595964935764,0.14164183014024054,-0.26385540446663647,0.5211267605633803,1.2593012102781642
crypto,NEARUSDT,1d,triple_barrier,0.9444515905510199,0.3219705154188916,-0.0812379244180873,0.37142857142857144,2.860476887032337
crypto,NEARUSDT,1d,time,0.49484782480103845,,-0.13348601262979742,0.32857142857142857,2.203491117865368
crypto,NEARUSDT,1d,channel,0.4360159577850347,,-0.2728610078019622,0.38571428571428573,1.55117521168188
crypto,NEARUSDT,1d,atr_trailing,0.4496283158946835,,-0.3044340398295735,0.34285714285714286,1.6515173144047721
crypto,NEARUSDT,1d,reversal,0.2541774118948843,,-0.3703037485628663,0.4,1.4595478549379848
crypto,LINKUSDT,1d,triple_barrier,-0.27281764528571883,,-0.23028601039256447,0.22784810126582278,3.441501621477223
crypto,LINKUSDT,1d,time,0.10664124068426765,,-0.2549340420280757,0.26582278481012656,2.7028433249709383
crypto,LINKUSDT,1d,channel,-0.08911340111633106,,-0.3925873294576048,0.34177215189873417,2.0753372387591305
crypto,LINKUSDT,1d,atr_trailing,-0.05858549455035233,,-0.3433885778004625,0.31645569620253167,2.151787514551102
crypto,LINKUSDT,1d,reversal,0.07657955838630971,,-0.36461182297764605,0.46835443037974683,1.6785206856406358
crypto,DOGEUSDT,1d,triple_barrier,0.38398863563794744,,-0.08802585775205218,0.1917808219178082,3.180270242063959
crypto,DOGEUSDT,1d,time,0.2726885078365546,,-0.1387089068802424,0.2465753424657534,2.5483496410751143
crypto,DOGEUSDT,1d,channel,0.5128378127472001,-0.10394102472623196,-0.22813785912543016,0.410958904109589,1.9671185106330136
crypto,DOGEUSDT,1d,atr_trailing,0.4805732926600717,,-0.21970368377635108,0.3698630136986301,2.079351909045479
crypto,DOGEUSDT,1d,reversal,0.29309481519697805,,-0.352655843008842,0.4931506849315068,1.804071306624064
crypto,LTCUSDT,1d,triple_barrier,-0.5030622763162258,,-0.2754260469879064,0.20253164556962025,3.533568236739905
crypto,LTCUSDT,1d,time,-0.3007241992117099,,-0.30422681027765186,0.20253164556962025,2.968753447670594
crypto,LTCUSDT,1d,channel,0.007097921549340904,,-0.2890234958003448,0.35443037974683544,2.281523969895379
