,volprem,xs_momentum,breakout,crisis,gmacro,bab
volprem,1.0,-0.019428131781303936,-0.008934165240899522,0.061444019351488674,0.016766664850562468,0.13370238958350378
xs_momentum,-0.019428131781303936,1.0,0.21330230304588985,-0.01847373364993331,-0.021729838098469786,-0.04869329571961282
breakout,-0.008934165240899522,0.21330230304588985,1.0,0.11717927808838224,0.010529984851988928,0.10785497978273773
crisis,0.061444019351488674,-0.01847373364993331,0.11717927808838224,1.0,0.389176760680614,0.07207732751688255
gmacro,0.016766664850562468,-0.021729838098469786,0.010529984851988928,0.389176760680614,1.0,-0.001409519018089942
bab,0.13370238958350378,-0.04869329571961282,0.10785497978273773,0.07207732751688255,-0.001409519018089942,1.0
