knob,w,S,M,W,D,K,npass
volprem_weight,0.5,2.6200192959989663,0.7107438016528925,-0.05625066789984268,-0.08693803470190742,2,4
volprem_weight,0.75,3.030411165144798,0.7355371900826446,-0.05658696886337711,-0.084634919144981,3,3
volprem_weight,1.0,3.369094304130625,0.768595041322314,-0.05689538562291829,-0.08923218568624891,3,3
volprem_weight,1.25,3.6114111822498858,0.7851239669421488,-0.05717924786655215,-0.09371791011574515,2,4
volprem_weight,1.5,3.7953341419085667,0.7933884297520661,-0.0652676652217491,-0.0982232723987293,2,3
volprem_weight,2.0,4.037932347332184,0.7851239669421488,-0.07344843714802074,-0.12050005951007425,2,2
volprem_weight,2.5,4.22326053707009,0.7851239669421488,-0.08246885021384176,-0.1376917682910015,2,2
volprem_weight,3.0,4.448676572927519,0.768595041322314,-0.09284637996794376,-0.132287053189315,2,2
