signal,lookback_d,skip_d,top_frac,weighting,rebal_d,sharpe,sortino,mc_p5,max_dd,months_in_profit,ann_turnover,cost_drag,n_obs
raw,10,0,0.1,equal,1,-0.46215236499181406,-0.666422392871092,,-0.7675696055231949,0.42045454545454547,289.33932951757976,1.5021424925524585,3669
raw,10,0,0.1,equal,5,-0.06697205818310353,-0.09812133655724842,,-0.5497069397329284,0.4659090909090909,124.82011447260832,0.6467454877111676,3669
raw,10,0,0.1,equal,10,0.03882924206060474,0.05916608923012535,,-0.4338807609662896,0.44886363636363635,85.3442354865086,0.4405269255030776,3669
raw,10,0,0.1,equal,21,0.007144539760732949,0.010906255484645999,,-0.6070542618631356,0.4943181818181818,39.92722812755519,0.20407993995505366,3669
raw,10,0,0.1,rank,1,-0.47000538054412777,-0.6779089512056826,,-0.7728412233048279,0.42045454545454547,292.33762717106333,1.5122524468346805,3669
raw,10,0,0.1,rank,5,-0.06842314327000039,-0.10004525317243637,,-0.5619753352707921,0.4659090909090909,125.62891439443561,0.652465921950282,3669
raw,10,0,0.1,rank,10,0.03287038526828758,0.049878256415568686,,-0.44123540817752593,0.42613636363636365,85.6641089462954,0.44289737762102577,3669
raw,10,0,0.1,rank,21,0.029431253177025222,0.04497035884154468,,-0.5982988301176921,0.4943181818181818,40.09027983164547,0.2062935993029011,3669
raw,10,0,0.1,volinv,1,-0.6531633425256995,-0.9496718911923688,,-0.8412697077261447,0.3977272727272727,355.5838699501981,1.7723948761029888,3669
raw,10,0,0.1,volinv,5,-0.07432230312888459,-0.11001194383126887,,-0.4710531841001744,0.4659090909090909,138.60903060839996,0.7024890698887324,3669
raw,10,0,0.1,volinv,10,0.004850418283340615,0.0074825223802550125,,-0.4251865968179215,0.44886363636363635,88.92713070224247,0.44479809490636657,3669
raw,10,0,0.1,volinv,21,-0.12585146210881026,-0.19092855744000808,,-0.7072323094069946,0.4715909090909091,41.92910192836395,0.20458945592163996,3669
raw,10,0,0.2,equal,1,-0.6581104637885811,-0.9444516234202218,,-0.854760361618806,0.3693181818181818,243.30981193785772,1.1790536769856534,3669
raw,10,0,0.2,equal,5,-0.2645950601919865,-0.3859505830797049,,-0.6381071305036972,0.4602272727272727,109.07465249386752,0.5285915215934451,3669
raw,10,0,0.2,equal,10,-0.18262698145713513,-0.28065202384030113,,-0.5972719779821773,0.4431818181818182,76.63254292722812,0.37044908703967105,3669
raw,10,0,0.2,equal,21,-0.0776110720173455,-0.11704523683848655,,-0.6111843878284343,0.4602272727272727,36.35878986099754,0.17263206550267277,3669
raw,10,0,0.2,rank,1,-0.6396222320063297,-0.9198130345607428,,-0.848440926887231,0.375,251.24447288801753,1.209176751278325,3669
raw,10,0,0.2,rank,5,-0.2401610854982847,-0.35036367199153773,,-0.6335990824716713,0.4715909090909091,111.69961745549698,0.5428302984796468,3669
raw,10,0,0.2,rank,10,-0.14408042082572484,-0.22130505485236104,,-0.5596195301475055,0.44886363636363635,78.00919369374067,0.37880539178792577,3669
raw,10,0,0.2,rank,21,-0.05765064253552104,-0.08724244641550237,,-0.5977411909646457,0.4659090909090909,36.973852861719074,0.17618133035736605,3669
