scheme,sharpe,config,sharpe_single,max_dd,months_in_profit,n_refits
in-sample best (overfit),1.332108399812073,"{'signal': 'raw', 'lb': 252, 'sk': 7, 'tf': 0.1, 'wt': 'volinv', 'rb': 21}",,,,
WF roll 2y/6m,0.146590104941967,top10 ensemble,-0.21484744903434547,-0.19316458312674545,0.5454545454545454,9.0
WF roll 3y/1y,0.5114821533106206,top10 ensemble,0.7475447889597414,-0.17542073758602805,0.40540540540540543,3.0
WF anch 2y/6m,0.3962522053630857,top10 ensemble,0.45868322792859884,-0.1960660049084023,0.509090909090909,9.0
WF anch 3y/1y,0.844631634676986,top10 ensemble,0.2786452345176061,-0.17542073758602805,0.5405405405405406,3.0
fixed a-priori (no selection),0.39640848772090415,"{'signal': 'riskadj', 'lb': 30, 'sk': 0, 'tf': 0.3, 'wt': 'equal', 'rb': 21}",,-0.2565166374943788,0.4936708860759494,
