signal,lookback_d,skip_d,top_frac,weighting,rebal_d,sharpe,sortino,mc_p5,max_dd,months_in_profit,ann_turnover,cost_drag,n_obs
raw,10,0,0.1,equal,1,-0.5251529112036148,-0.7148903427425877,,-0.8412991152529159,0.45454545454545453,358.65049279757386,0.5631666666666666,3957
raw,10,0,0.1,equal,5,-0.4578013961077376,-0.6442431980738201,,-0.765136279929901,0.4318181818181818,137.2191053828658,0.21546666666666664,3957
raw,10,0,0.1,equal,10,-0.26880370578399815,-0.37448037443261967,,-0.6617909469546448,0.5,87.46019711902954,0.1373333333333333,3957
raw,10,0,0.1,equal,21,-0.43242268917199367,-0.6202769134062849,,-0.8360396601965127,0.44886363636363635,42.32903714935557,0.06646666666666666,3957
raw,10,0,0.1,rank,1,-0.5262635141381187,-0.722717231738367,,-0.8394516931538232,0.44886363636363635,363.2745911832835,0.570427602108037,3957
raw,10,0,0.1,rank,5,-0.45417145975749906,-0.6385648038536541,,-0.763778815080209,0.4318181818181818,138.31592384936485,0.21718893280632412,3957
raw,10,0,0.1,rank,10,-0.2784533617831419,-0.3871142971662476,,-0.6682576388076424,0.4943181818181818,87.86974201919648,0.1379764163372859,3957
raw,10,0,0.1,rank,21,-0.44296717393263446,-0.6351713920270924,,-0.8400920176619824,0.4431818181818182,42.464545244780595,0.0666794466403162,3957
raw,10,0,0.1,volinv,1,-0.5591755858735814,-0.7433411925992964,,-0.8579326605520958,0.4375,392.6305371927107,0.6165234268537921,3957
raw,10,0,0.1,volinv,5,-0.4662944654393351,-0.652361883886713,,-0.7666615053975503,0.42613636363636365,143.3174471173114,0.22504251517587348,3957
raw,10,0,0.1,volinv,10,-0.2210581542191769,-0.3085857656591003,,-0.6183025794522268,0.5170454545454546,88.94054875077754,0.1396578378598519,3957
raw,10,0,0.1,volinv,21,-0.3914465827178721,-0.5629894974430124,,-0.8293138552812137,0.44886363636363635,43.085966884715596,0.06765522657254747,3957
