signal,lookback_d,skip_d,top_frac,weighting,rebal_d,sharpe,sortino,mc_p5,max_dd,months_in_profit,ann_turnover,cost_drag,n_obs
raw,10,0,0.1,equal,1,0.1457522647976176,0.2169358739950873,,-0.31940977292856143,0.45569620253164556,431.99436702665867,2.418706673817084,2404
raw,10,0,0.1,equal,5,0.5855312760130865,0.836336463096545,,-0.1973955039370412,0.5569620253164557,180.1063356799815,1.0267035533272226,2404
raw,10,0,0.1,equal,10,0.6798461569320562,0.9932421373908512,0.07073917701148252,-0.2179141652987161,0.5316455696202531,119.26940296954041,0.6821324599000874,2404
raw,10,0,0.1,equal,21,0.16785902148665585,0.22901685412643993,,-0.44155532782388185,0.5063291139240507,58.40768679825618,0.327844969802276,2404
raw,10,0,0.1,rank,1,0.16198373099474095,0.24034575340532818,,-0.3061562041134903,0.4177215189873418,434.0467898502346,2.407537595455997,2404
raw,10,0,0.1,rank,5,0.566429863232172,0.8083295609142769,,-0.2101735963624376,0.5316455696202531,180.65333182820322,1.0299852814993469,2404
raw,10,0,0.1,rank,10,0.6956641011087664,1.0219352559167316,0.0872167589879532,-0.20216392713668152,0.5189873417721519,119.39759597925487,0.6847498716159618,2404
raw,10,0,0.1,rank,21,0.15648079817579572,0.20986365398245407,,-0.43519328859589046,0.4810126582278481,58.47163172599377,0.3287883552075607,2404
raw,10,0,0.1,volinv,1,-0.11929984288915818,-0.17469043927899552,,-0.4028137833320342,0.4810126582278481,511.44392533964987,2.7596957194357783,2404
raw,10,0,0.1,volinv,5,0.5417391220380098,0.742611067139709,,-0.1813073068999983,0.5569620253164557,194.76862457649008,1.0699624863307766,2404
raw,10,0,0.1,volinv,10,0.6224714436935201,0.8919794886638495,0.008259328440578414,-0.23386250995787994,0.5822784810126582,124.41531639486722,0.6887249248227514,2404
raw,10,0,0.1,volinv,21,0.2997891683974063,0.4526121197030873,,-0.4181030908425183,0.45569620253164556,60.14845279639799,0.3295071625609793,2404
raw,10,0,0.2,equal,1,0.009010157331663216,0.01333433761979511,,-0.35615148658642004,0.46835443037974683,375.3252779683631,1.9134956782538857,2404
raw,10,0,0.2,equal,5,0.24624749560802772,0.36312502874892205,,-0.29315488824123637,0.5189873417721519,164.24290623028486,0.8520285535281504,2404
raw,10,0,0.2,equal,10,0.3362722715473545,0.5013505556457706,,-0.3599299917137202,0.569620253164557,112.57025059600862,0.5854853533525876,2404
raw,10,0,0.2,equal,21,0.15006347299809755,0.19963533844720086,,-0.4292292961303723,0.4936708860759494,55.897852511764945,0.2874453574792216,2404
raw,10,0,0.2,rank,1,0.09195196917089833,0.13700997173024546,,-0.31867818445740026,0.46835443037974683,382.97561307606827,1.9215433752371154,2404
raw,10,0,0.2,rank,5,0.32748984277876547,0.48647222946437413,,-0.22918410348664664,0.4810126582278481,166.27424559493065,0.8620571803416394,2404
raw,10,0,0.2,rank,10,0.40363976171132926,0.6116537744160323,,-0.3099869966475507,0.5949367088607594,113.5674603480723,0.5935390423766931,2404
raw,10,0,0.2,rank,21,0.12260519453668049,0.16037077895710308,,-0.42407024249475245,0.4810126582278481,56.23664559482198,0.2902920304845734,2404
raw,10,0,0.2,volinv,1,-0.4063915450399126,-0.5636563861383415,,-0.47875082861118945,0.4177215189873418,438.2162765831097,2.162164492759423,2404
raw,10,0,0.2,volinv,5,-0.14022542361426082,-0.19009695476865968,,-0.4572777551068238,0.46835443037974683,178.64297731722118,0.8975982473223885,2404
raw,10,0,0.2,volinv,10,0.2606561113163774,0.3589878801663336,,-0.36936980922778295,0.569620253164557,117.61455122446898,0.5950153513797356,2404
raw,10,0,0.2,volinv,21,0.20629488805763682,0.2940347198449783,,-0.4585336326734688,0.5189873417721519,57.75438672625094,0.2909933055606019,2404
raw,10,0,0.3,equal,1,0.0987131899245032,0.1520539774465044,,-0.38987618328233176,0.4810126582278481,328.5988345300774,1.6003612099765423,2404
raw,10,0,0.3,equal,5,0.4077800434704483,0.612991309305596,,-0.31821915875482476,0.5063291139240507,145.83303306014238,0.724561073068188,2404
raw,10,0,0.3,equal,10,0.31328756866915175,0.4724543489272068,,-0.3625069928782676,0.5063291139240507,102.6414782558816,0.5117226330181617,2404
raw,10,0,0.3,equal,21,0.11331350924333511,0.15211329175041977,,-0.45385896963219985,0.4810126582278481,50.34787019131543,0.24782345193319705,2404
raw,10,0,0.3,rank,1,0.14778114717378174,0.22601468066024283,,-0.3489457742003992,0.46835443037974683,346.4336555879978,1.6531738400185139,2404
raw,10,0,0.3,rank,5,0.4309737000089336,0.6480691102689579,,-0.2587617064998553,0.4936708860759494,152.09109767083623,0.7560681966473359,2404
raw,10,0,0.3,rank,10,0.4053314132484043,0.6148178342431919,,-0.3227256551860168,0.5569620253164557,105.95147051883181,0.5321317336372,2404
raw,10,0,0.3,rank,21,0.10259198821786998,0.13521443070027436,,-0.438780337288035,0.46835443037974683,51.956356235586696,0.25758725785591413,2404
raw,10,0,0.3,volinv,1,-0.27452604763990057,-0.40070911859911335,,-0.47202259841866556,0.4430379746835443,381.38598629660277,1.800633787009233,2404
raw,10,0,0.3,volinv,5,0.14089364664030793,0.19281852916262646,,-0.3683170175992678,0.5316455696202531,158.36138955276067,0.7629794799118031,2404
raw,10,0,0.3,volinv,10,0.318615416663044,0.45093893906809984,,-0.3183302090948712,0.5316455696202531,107.79341253234578,0.5243180725119209,2404
raw,10,0,0.3,volinv,21,0.11504481122073933,0.16229140002745782,,-0.5162324643518008,0.4936708860759494,52.36818215644039,0.2526613367541839,2404
raw,10,2,0.1,equal,1,0.03215085225022184,0.04839113459309184,,-0.2674886957447229,0.45569620253164556,428.5857219861636,2.4138845556916704,2404
raw,10,2,0.1,equal,5,0.4839511179707932,0.7241820455781441,,-0.18436915244861496,0.5063291139240507,181.47608714983636,1.0262756947768155,2404
raw,10,2,0.1,equal,10,0.5798158196943802,0.9425397468478618,,-0.42241045484616724,0.5949367088607594,119.68395673332958,0.6848820613943354,2404
raw,10,2,0.1,equal,21,0.028468942182732177,0.03548838377661384,,-0.39545760526999085,0.4430379746835443,59.48681277875671,0.33955056126136385,2404
raw,10,2,0.1,rank,1,0.044057384973153334,0.06618709594348722,,-0.2632286595118136,0.45569620253164556,430.96281078637213,2.405127813824619,2404
raw,10,2,0.1,rank,5,0.4603599288917981,0.6824117217560924,,-0.1857787156519798,0.5316455696202531,181.81829393374935,1.0289373284894068,2404
raw,10,2,0.1,rank,10,0.5974940312257676,0.9843331794774869,,-0.41677776019816404,0.5949367088607594,119.84483592923016,0.6874500236933845,2404
raw,10,2,0.1,rank,21,0.051226525715853545,0.06465801105159047,,-0.38060533586055434,0.45569620253164556,59.58450367719295,0.34116287952148927,2404
raw,10,2,0.1,volinv,1,-0.1195314242963909,-0.17813097793979724,,-0.2994926992054049,0.45569620253164556,508.5731198396228,2.7523890809812714,2404
raw,10,2,0.1,volinv,5,0.35770890822945856,0.5262902291757784,,-0.2019994585931707,0.5063291139240507,196.24435060739054,1.0690926645149588,2404
raw,10,2,0.1,volinv,10,0.5820697739858086,0.8826984457041364,,-0.41803262522066154,0.5443037974683544,124.18419265484802,0.685820793839053,2404
raw,10,2,0.1,volinv,21,0.04576883163056829,0.057762660509219264,,-0.42634444470685573,0.45569620253164556,60.9760387685447,0.3405982487613259,2404
raw,10,2,0.2,equal,1,0.07718025625338305,0.12137223496628934,,-0.3621381999618778,0.45569620253164556,373.4673599191664,1.9083768869903062,2404
raw,10,2,0.2,equal,5,0.4732229266311901,0.7601711345210105,,-0.2857089023182584,0.45569620253164556,163.101087607763,0.8384664714513309,2404
raw,10,2,0.2,equal,10,0.2583665286341714,0.39977344481836175,,-0.3987560466373805,0.5443037974683544,113.45183139556899,0.587722273463182,2404
raw,10,2,0.2,equal,21,0.06005776884938088,0.08417035162710303,,-0.38660428587130036,0.5063291139240507,56.75572210478881,0.2916701077157422,2404
raw,10,2,0.2,rank,1,0.14626477574301183,0.23099217240564043,,-0.3090180176668539,0.46835443037974683,381.1034115634753,1.9175386434972816,2404
