scheme,sharpe,config,sharpe_single,max_dd,months_in_profit,n_refits
in-sample best (overfit),1.1217574581384635,"{'signal': 'blend', 'lb': 45, 'sk': 0, 'tf': 0.2, 'wt': 'volinv', 'rb': 21}",,,,
WF roll 2y/6m,0.08152951453268896,top10 ensemble,-0.24225708865588366,-0.23068456498772116,0.5636363636363636,9.0
WF roll 3y/1y,0.46842648575104984,top10 ensemble,0.383553803776915,-0.17012177415667662,0.5675675675675675,3.0
WF anch 2y/6m,0.592118270369694,top10 ensemble,0.19360715525525024,-0.24104748144284716,0.6,9.0
WF anch 3y/1y,0.9518127071209006,top10 ensemble,0.31774551096827625,-0.14791662457888421,0.6756756756756757,3.0
fixed a-priori (no selection),0.6467570220117995,"{'signal': 'riskadj', 'lb': 30, 'sk': 0, 'tf': 0.3, 'wt': 'equal', 'rb': 21}",,-0.19297416006125756,0.5063291139240507,
