model,sharpe,max_dd,months_in_profit,turnover,mc_p5,active_frac
rule-baseline,0.6227421726481661,-0.318878848106535,0.5397727272727273,7.840875964307298,,
LTR-ridge,0.8912536035328422,-0.23222031256508646,0.5,8.874115681325321,0.4437025753275373,
LTR-histgb,0.7617937389510407,-0.23401156465222606,0.48295454545454547,15.53194212378684,0.29461246884559866,
LTR-lgbm,0.8949584626551265,-0.3184704193546941,0.5,15.849728038678943,0.4548845515988082,
meta-gate-0.5,0.5393205932520266,-0.31887884810653466,0.4147727272727273,,,0.7187244480784954
meta-gate-0.55,0.5341058641744894,-0.3167289258381769,0.3693181818181818,,,0.6263286999182338
meta-gate-0.6,0.4144683302813461,-0.24143210871867138,0.2727272727272727,,,0.3976560370673208
