signal,lookback_d,skip_d,top_frac,weighting,rebal_d,sharpe,sortino,mc_p5,max_dd,months_in_profit,ann_turnover,cost_drag,n_obs
raw,5,0,0.1,equal,5,0.32380853598631615,0.38964596794051853,,-0.23195531466843355,0.525,47.76391068195535,0.10038334094917488,11599
raw,5,0,0.1,equal,10,0.15556414025104143,0.18673153771952553,,-0.34112201703025213,0.5375,24.424381412190712,0.05107362049545937,11599
raw,5,0,0.1,equal,21,0.7036299761430236,0.8556651971822793,0.0931144204477672,-0.1575666800926636,0.5875,11.740736270368133,0.024503658275625752,11599
raw,5,0,0.1,volinv,5,0.32529531589773975,0.39777521347047307,,-0.21297275513977354,0.525,50.41352381526306,0.10579640102389307,11599
raw,5,0,0.1,volinv,10,0.2185124785296015,0.264834924514418,,-0.275130315734745,0.5375,25.25779175391984,0.052763085572595764,11599
raw,5,0,0.1,volinv,21,0.6161014935979259,0.7481365317872577,-0.02566764784690128,-0.20345972638329957,0.5625,12.249139564982215,0.02547761475152412,11599
raw,5,0,0.2,equal,5,0.3283042632891682,0.39850066842727555,,-0.27104715916183053,0.5375,42.82661984967356,0.08866380246470335,11599
raw,5,0,0.2,equal,10,-0.0358748746911498,-0.04329804099832863,,-0.4349567512792055,0.475,22.015954353431727,0.04535167608630686,11599
raw,5,0,0.2,equal,21,0.3545880985652328,0.42462726229378167,,-0.2368638324868768,0.5375,10.51854940472925,0.021598127895193553,11599
raw,5,0,0.2,volinv,5,0.1619360056776331,0.1956614497569014,,-0.27114802410073113,0.5125,46.56228743212321,0.09617452411312827,11599
raw,5,0,0.2,volinv,10,-0.12024859752566905,-0.14631369624668028,,-0.4135148485004123,0.4875,23.6258028836346,0.04857079518714144,11599
raw,5,0,0.2,volinv,21,0.2512219249708352,0.30132808317020426,,-0.21664673967764492,0.5,11.140695924819918,0.0228130039501461,11599
raw,5,0,0.3,equal,5,0.0038161035460126066,0.004511587400011181,,-0.2779359639922204,0.4875,38.06510670982608,0.07827664894435916,11599
raw,5,0,0.3,equal,10,-0.14790354416831936,-0.17563880848729002,,-0.41309033001516593,0.5,19.469040434520217,0.03987193830869219,11599
raw,5,0,0.3,equal,21,0.19670765916006955,0.23326827606183723,,-0.2738119308304291,0.45,9.2009656004828,0.018761815854765634,11599
raw,5,0,0.3,volinv,5,-0.18404623751862284,-0.21796863306814546,,-0.35131973521304494,0.475,42.19013738813007,0.08650253574353373,11599
raw,5,0,0.3,volinv,10,-0.30281281193328874,-0.35973225283575166,,-0.44125180567459377,0.5,21.500107532671958,0.043904817411386285,11599
raw,5,0,0.3,volinv,21,0.1583299614644511,0.18729951212875073,,-0.2339958157914347,0.475,9.92141957197254,0.020162336731270863,11599
raw,5,2,0.1,equal,5,-0.327290512650933,-0.3939623518370062,,-0.49607208576670336,0.425,48.25057332528666,0.10196782254165491,11599
