scheme,sharpe,config,sharpe_single,max_dd,months_in_profit,n_refits
in-sample best (overfit),0.36835903337098663,"{'signal': 'blend', 'lb': 180, 'sk': 7, 'tf': 0.1, 'wt': 'volinv', 'rb': 21}",,,,
WF roll 2y/6m,-0.17878240129406145,top10 ensemble,-0.3338655041229507,-0.6412900114379692,0.4768211920529801,27.0
WF roll 3y/1y,-0.1729038385377761,top10 ensemble,-0.23213545062493798,-0.637369891655543,0.49264705882352944,12.0
WF anch 2y/6m,0.05195262136441184,top10 ensemble,0.15142859171298156,-0.5094025809580708,0.4966887417218543,27.0
WF anch 3y/1y,0.016041698343060733,top10 ensemble,0.24382372080860495,-0.5448590141002698,0.5,12.0
fixed a-priori (no selection),0.19737261097700795,"{'signal': 'riskadj', 'lb': 252, 'sk': 7, 'tf': 0.1, 'wt': 'equal', 'rb': 21}",,-0.4377411787727694,0.4772727272727273,
