model,sharpe,max_dd,months_in_profit,turnover,mc_p5,active_frac
rule-baseline,0.708492001256627,-0.20499439551045695,0.569620253164557,38.94876383880231,,
LTR-ridge,-0.4382702647611766,-0.5823389153216709,0.31645569620253167,23.79220602572968,,
LTR-rf,0.07846403969293132,-0.4489462751355028,0.3924050632911392,26.809886208178145,,
LTR-histgb,0.31620236702642934,-0.25341036249571225,0.46835443037974683,29.35555503404979,,
LTR-lgbm,0.6131977089497002,-0.2011206144809644,0.46835443037974683,29.15675692612963,-0.048359832082558084,
meta-gate-0.5,0.47640999071882284,-0.20499439551045628,0.4810126582278481,,,0.78369384359401
meta-gate-0.55,0.3788151470768271,-0.21203824311699748,0.5063291139240507,,,0.6659733777038269
meta-gate-0.6,0.3661333640937373,-0.1722951965870878,0.46835443037974683,,,0.4193011647254576
