,corr_beta_vol,corr_beta_skew,corr_vol_skew,beta_on_skew_alpha_ann,beta_on_skew_alpha_t,vol_on_skew_alpha_ann,vol_on_skew_alpha_t,beta_on_vol_slope,beta_on_vol_alpha_t
crypto,0.136,0.069,0.518,0.1324,2.0,0.0243,0.44,0.14,1.96
equity,0.191,0.02,0.163,0.044,1.23,-0.0607,-1.69,0.188,1.6
