vol_index,underlying,class,sharpe,max_dd,skew,start,days_at_ruin
VIX,SPY,eq_index,1.204849574876053,-0.9992376874535145,-23.512928857154336,2005-02-17,1
VXN,QQQ,eq_index,0.5794764264011516,-0.9999918908604575,-27.81714136557101,2009-09-17,2
RVX,IWM,eq_index,0.7726084319133141,-0.7404784781437743,-14.578615466244159,2009-09-28,0
VXD,DIA,eq_index,1.377481051751542,-0.9990580668529406,-25.546877312466368,2009-09-28,1
VXEFA,EFA,eq_index,0.3756246579033666,-0.9262069918509361,-17.61471999113193,2008-01-08,0
VXAPL,AAPL,single,-0.6063056508803173,-0.9949171956885373,-13.793032456196794,2011-01-18,0
VXAZN,AMZN,single,-0.7044541351174146,-0.9999999914745676,-16.709546143752593,2011-01-18,1
VXGOG,GOOGL,single,-0.7865812725791097,-0.9999999983753208,-19.73900492600054,2011-01-18,2
VXGS,GS,single,-0.3900252361900875,-0.9768990744286994,-11.974090289776656,2011-01-18,0
VXIBM,IBM,single,-0.6763354268567029,-0.999999923212235,-16.004356814763526,2011-01-18,1
VXEEM,EEM,intl,1.1494694807158838,-0.7037293715412024,-11.038705242259642,2011-03-25,0
VXEWZ,EWZ,intl,0.3107995103741556,-0.9996497652029911,-26.817810573292604,2011-03-18,1
VXFXI,FXI,intl,-0.12377039048841859,-0.8005358736114395,-5.469248120280289,2011-03-18,0
OVX,USO,commodity,0.43583887025607654,-0.9996029147372529,-29.882351373919402,2009-09-23,1
GVZ,GLD,commodity,0.3381245703306954,-0.7415700320307061,-11.729583354202589,2009-09-28,0
VXSLV,SLV,commodity,-0.10445334372910217,-0.829916823721192,-17.79313617590427,2011-03-23,0
VXGDX,GDX,commodity,-0.516853013998189,-0.8479494360901503,-6.597841149948666,2011-03-25,0
VXTLT,TLT,rates,0.11002710466402171,-0.9645408936848804,-13.060306125610053,2005-02-17,0
