cap,wing_markup,sharpe,dd,skew
2.0,1.5,1.953683909836081,-0.9781815581997606,-0.9687172144118313
2.0,2.0,-2.1627361188691188,-0.999997273758971,-1.0389252210982867
2.0,3.0,-8.715710194644691,-1.0,-1.058694601243627
2.5,1.5,2.83243331790923,-0.9428085836652154,-1.249865635032685
2.5,2.0,-0.2924115680808036,-0.995093113220889,-1.2738900883050053
2.5,3.0,-5.563467789503643,-0.9999999999995762,-1.2667682220100438
3.0,1.5,3.3412125749413923,-0.9000522836366299,-1.5217350836738983
3.0,2.0,0.9078883187438933,-0.9827939836486781,-1.524408078708669
3.0,3.0,-3.3840966007272297,-0.9999999862646792,-1.4858437805973799
