date,underlying,T_days,iv_full,iv_trunc,var_full,var_trunc,wing_var,wing_frac
2013-01-02,SPY,30,0.1390785637651938,0.13567713664825648,0.01934284689898908,0.01840828540906966,0.0009345614899194214,0.04831561221571084
2013-01-02,QQQ,30,0.16093417988999634,0.1572692761250724,0.0258998102568657,0.02473362521290427,0.0011661850439614319,0.04502677943952471
2013-01-02,IWM,30,0.1784594396781871,0.17503953203984182,0.0318477716102525,0.030638837776726813,0.0012089338335256848,0.03795976209326063
2013-01-02,GLD,30,0.12389331276571745,0.12155576358055586,0.015349552948063887,0.01477580365965199,0.0005737492884118969,0.03737889242463356
2013-01-02,TLT,17,0.1468424193928909,0.13710525895846373,0.021562696133157658,0.0187978520340674,0.0027648440990902592,0.12822348754609905
2013-01-03,SPY,29,0.13729567301315315,0.1341997142034385,0.018850101828134673,0.018009563292284578,0.0008405385358500952,0.04459066287883663
2013-01-03,QQQ,29,0.16233849466130415,0.15793919615739135,0.026353786848898275,0.02494478968284294,0.0014089971660553348,0.05346469462373443
2013-01-03,IWM,29,0.1715462843116592,0.16785609289544332,0.029428127661136606,0.0281756679221237,0.0012524597390129073,0.04255995330164792
2013-01-03,GLD,29,0.12780841168832827,0.12412879862853797,0.016334990098293204,0.015407958648964128,0.0009270314493290757,0.05675127096807598
2013-01-03,TLT,16,0.1363577866328164,0.09948209500553196,0.018593445975400677,0.009896687226689687,0.00869675874871099,0.4677324881152688
2013-01-04,SPY,28,0.12848701540725452,0.12607519111061127,0.016508913128264063,0.015894953813577153,0.0006139593146869092,0.03718956601908462
2013-01-04,QQQ,28,0.15052044343074975,0.14793983951683906,0.022656403890589538,0.021886196116268092,0.0007702077743214457,0.03399514671617219
2013-01-04,IWM,28,0.16232947929414704,0.15866141440492673,0.026350859847908914,0.025173444420971896,0.001177415426937018,0.0446822393551022
2013-01-04,GLD,28,0.1301366385105556,0.12561287468725543,0.01693554468282702,0.01577859428719614,0.0011569503956308826,0.06831492091329387
2013-01-04,TLT,43,0.13761681867053133,0.11797235979181729,0.0189383887809979,0.013917477674849988,0.005020911106147911,0.26511817685281197
2013-01-07,SPY,25,0.12530716782575899,0.12326062282943936,0.015701886308512925,0.015193181140301309,0.0005087051682116164,0.032397710581805524
2013-01-07,QQQ,25,0.1483798995689024,0.14478454283205136,0.022016594596077566,0.020962563843086115,0.0010540307529914514,0.047874377138199
2013-01-07,IWM,25,0.1581394422384705,0.15608234382966346,0.02500808319149455,0.024361698055361286,0.0006463851361332637,0.02584704837966568
2013-01-07,GLD,25,0.13978404266150446,0.12369968134664777,0.019539578582793298,0.015301611165262198,0.0042379674175311004,0.2168914441820709
2013-01-07,TLT,40,0.1344795132608346,0.11693430248977588,0.018084739486870987,0.013673631098770405,0.004411108388100582,0.2439132944825068
2013-01-08,SPY,24,0.12309404432104648,0.12068929197521983,0.015152143747311754,0.014565905197479861,0.0005862385498318929,0.03869013913862199
2013-01-08,QQQ,24,0.1465212131318788,0.14322736187445542,0.021468465897637453,0.020514077189516203,0.0009543887081212496,0.04445537527794557
2013-01-08,IWM,24,0.15690014344446787,0.1544506598361524,0.024617655012894594,0.02385500632382286,0.0007626486890717349,0.030979745579839495
2013-01-08,GLD,24,0.1342087164286147,0.12311769856646601,0.018011979565416312,0.015157967700303188,0.0028540118651131235,0.15845076076995643
2013-01-08,TLT,39,0.12787527126143403,0.11450242295626982,0.016352085000185337,0.013110804862856505,0.0032412801373288315,0.1982181561123303
2013-01-09,SPY,23,0.12201390490496446,0.12001845487996983,0.01488739299015771,0.014404429511775355,0.00048296347838235575,0.032441104947095206
2013-01-09,QQQ,23,0.14250258253323128,0.14076939944001984,0.02030698602864039,0.01981602381870386,0.000490962209936531,0.024177010278339284
2013-01-09,IWM,23,0.14896022123411412,0.14652385557941297,0.02218914751011622,0.021469240253856672,0.0007199072562595471,0.03244411512120217
2013-01-09,GLD,23,0.13432085152030498,0.12253851348442948,0.018042091153139816,0.015015687286973705,0.0030264038661661115,0.16774130229573941
2013-01-09,TLT,38,0.125351762246673,0.1121489100996543,0.01571306429834643,0.012577378036540342,0.0031356862618060876,0.19955918223640648
2013-01-10,SPY,29,0.12370372671920518,0.1215011852426805,0.015302612004219797,0.01476253801537616,0.0005400739888436357,0.03529292833763979
2013-01-10,QQQ,29,0.15119074090797294,0.14794973669811814,0.0228586401363018,0.021889124589042484,0.0009695155472593149,0.04241352685366561
2013-01-10,IWM,29,0.1589448498911687,0.15388480039088578,0.02526346530692615,0.02368053179134276,0.0015829335155833901,0.06265702255618188
2013-01-10,GLD,29,0.12163188656142876,0.1200459939167413,0.014794315828492275,0.014411040655458288,0.0003832751730339871,0.02590692110924386
2013-01-10,TLT,37,0.1258437820473508,0.10987148792171386,0.015836657479981132,0.012071743858131315,0.0037649136218498164,0.23773410687255087
2013-01-11,SPY,28,0.12345405109306916,0.12000869051664104,0.01524090273129013,0.014402085799518929,0.000838816931771201,0.05503722099407401
