,SOLUSDT_15m_trend,SOLUSDT_1h_trend,DOGEUSDT_1h_trend,ADAUSDT_1h_trend,1000PEPEUSDT_1h_trend,BTCUSDT_4h_trend,ETHUSDT_4h_breakout,BNBUSDT_4h_trend,ADAUSDT_4h_trend,ADAUSDT_4h_breakout,HBARUSDT_4h_trend,NEARUSDT_4h_breakout,ALGOUSDT_4h_trend,VETUSDT_4h_trend,GRTUSDT_4h_trend,RUNEUSDT_4h_trend,BTCUSDT_1d_trend,XRPUSDT_1d_breakout,TRXUSDT_1d_trend,TRXUSDT_1d_carry,ADAUSDT_1d_breakout,AVAXUSDT_1d_breakout,NEARUSDT_1d_breakout,QNTUSDT_1d_carry,NVDA_15m_trend,TSLA_15m_trend,TSLA_15m_breakout,BAC_15m_trend,TSLA_1h_trend,TSLA_1h_breakout,AAPL_4h_breakout,NVDA_4h_trend,NVDA_4h_breakout,GOOGL_4h_trend,META_4h_trend,AVGO_4h_trend,MRK_4h_mean_reversion,NFLX_4h_trend,ORCL_4h_trend,QQQ_4h_trend,MSFT_1d_trend,NVDA_1d_trend,V_1d_trend,MA_1d_trend,ADBE_1d_trend,QQQ_1d_trend
ADAUSDT_4h_trend,0.02969983411392894,0.20918173815480848,0.29076514927361763,0.4471260298583339,0.28905477666929646,0.35675664668735535,0.10576392810957568,0.3411594866675423,1.0,0.22020053461367542,0.4381462473156632,0.13889603219747065,0.47767116772424084,0.5591248110635832,0.4645419017016673,0.39685361352621895,0.06777645452155348,0.12764641358953363,0.018683002157670093,-0.14142448175182862,0.41790386227570064,0.2199767828529674,0.18454066478508196,-0.13469187486759918,0.017551735989071376,0.07975385870245225,0.05059744192495833,0.047121143727760474,0.07406229292803175,0.04339005407283048,0.025390757078118754,-0.02157732914181456,-0.006225712805287153,0.02788764535326032,0.05255810529695986,0.029188393868668682,-0.012104014048013454,-0.010532322438325957,0.0565641077447864,-0.019077630136903122,-0.011679332416401813,-0.06301578420352669,-0.012850394530925877,-0.03914161052197791,-0.028159143252301854,-0.11244142071237191
ADAUSDT_4h_breakout,0.19467247841858326,0.22419276793787016,0.18000651933838568,0.40134711901144016,0.14176221081139342,0.07953994120292154,0.252897206010382,0.07088740904417942,0.22020053461367542,1.0,0.11868047334606044,0.2521885479469519,0.10515205697920495,0.19702391669442162,0.11989389881173594,0.1080653035827123,0.05139687811427544,0.06949473491626693,0.014443552444952497,-0.055652063366852474,0.23861234067099749,0.11253993691830735,0.07765233017753166,-0.0652660580242654,-0.0002933739514923375,0.038855573536326585,0.07113742284681326,0.036937431799568675,-0.012162461985926026,0.0182942401839967,0.007026649362067797,-0.04831890952414237,-0.02271756433004994,0.0036845099430305233,0.018096756297926984,-0.0010766494365288895,0.008209649374159494,-0.012928416619176281,0.04854254341314878,-0.023580171375829746,-0.034783864343365334,-0.04603994459016627,-0.02816687385709062,-0.01780814806738057,0.013948881782102268,-0.06612149759165366
HBARUSDT_4h_trend,0.050069640946516544,0.17148300616619647,0.2219171800940818,0.22265422135304774,0.16468402027846296,0.24786412528356233,0.061448926472266775,0.2429571534464469,0.4381462473156632,0.11868047334606044,1.0,0.14603861688656022,0.5115026257895526,0.46863097593538294,0.5061212680170645,0.3162798646964595,0.054747962590905065,0.14553343612254635,0.056151026983237484,-0.10806713933298652,0.20079466100702456,0.20887332414005677,0.2066840056811938,-0.1582032045774398,0.02465237029002439,0.06717714654123012,0.037218990461853715,-0.0031088389580049757,0.04352003048257796,0.04282899001192676,0.017509261102355202,0.03171548587953788,-0.009889049924026868,0.013597806792282717,0.0037098227593667706,0.0050055318780871955,-0.02368440596946058,0.03710469047187364,0.0028342602864810692,-0.004039645217995698,0.031130276717960315,-0.016225473311609565,0.05815049947144693,-0.024993432366592117,0.07135979906637004,-0.06814926816798937
NEARUSDT_4h_breakout,0.14077289637272433,0.20258219975085873,0.15712653612282157,0.1920633995478968,0.20188831009000358,0.046861819196948436,0.20508201563788556,0.08961619622651362,0.13889603219747065,0.2521885479469519,0.14603861688656022,1.0,0.15963146951797966,0.14254738598061287,0.17212306969346408,0.12047624987789947,0.0569629354602913,0.030983344209788256,0.01102354473567442,-0.022497766622788334,0.10451488320080585,0.11244753200187542,0.24268808197467773,-0.061135608350655596,-0.0022393791328017515,0.05332230571641896,0.029183866096439397,0.0017986099136103187,0.07128037873942775,0.08728100339413676,-0.007926000619883857,0.04826493837216616,-0.038017730296097764,0.02775644379363094,0.014440816142710443,-0.010581514082309838,-0.026234807531263265,-0.018816110948763204,0.03563416787225034,0.03067903182886675,0.03527104604416461,0.010908675152008081,0.021859150310297903,-0.0028183128601194964,0.02927023044452126,-0.0185162391892757
ALGOUSDT_4h_trend,0.05845751978292987,0.20805254573699103,0.18943519817211643,0.2359006036595971,0.24406301444533815,0.3125482726172767,0.04110311049389756,0.34038315555227183,0.47767116772424084,0.10515205697920495,0.5115026257895526,0.15963146951797966,1.0,0.5532104279085633,0.4347897190774274,0.36896421671464863,-0.0031090175981343658,0.1635607223227469,0.03037238088142071,-0.15716641288460156,0.22906057477873368,0.20716701437537258,0.20536017497035963,-0.1595920209120478,0.03510789314739009,0.10961654382842347,0.02789545488766282,0.02538930174277371,0.07168939487959188,0.046843197689599686,0.03734649778815589,0.010801581570985687,0.018739717158142405,-0.015752017366772585,-0.0017617730055680724,-0.006957365735990728,0.01318919412553828,0.06751530498720637,0.026226826235866675,-0.0024750010798821062,-0.009323484028885715,-0.06222054687667659,0.010557206141401732,-0.06454215369938489,0.051470859104331995,-0.0825948627896132
VETUSDT_4h_trend,0.0439709495045105,0.2072409919339984,0.2777759993699839,0.3292737024011549,0.27161119715728144,0.3801371798372577,0.10135861300228391,0.37005956530758694,0.5591248110635832,0.19702391669442162,0.46863097593538294,0.14254738598061287,0.5532104279085633,1.0,0.5462788786846625,0.39807243572070367,-0.007643959777873863,0.1330622959233603,0.05975404023459785,-0.1713408601533724,0.2473349604613821,0.19197891984024784,0.17272936001600378,-0.15289478572727463,0.05785525753155558,0.08969268459376795,0.044480232618917495,0.028899279510325795,0.040324674472520534,0.08760680981047464,0.0458496252772989,-0.0335236178111622,0.03293788867799114,-0.0016800116677183276,0.017769024488455333,0.004473226967884792,-0.004537362170786205,0.020135071559465593,0.07383093660886772,-0.037113226281336134,-0.036195117188115425,-0.08619295451201257,0.00747470675304996,-0.07150366467473064,0.009232814431367897,-0.12456181989258086
GRTUSDT_4h_trend,0.0734170067478246,0.2280502565638395,0.25317854610838025,0.2624116923775454,0.16249574824230456,0.3110010052633255,0.10800253706486758,0.29063526611485946,0.4645419017016673,0.11989389881173594,0.5061212680170645,0.17212306969346408,0.4347897190774274,0.5462788786846625,1.0,0.4112340690561133,-0.024674975914174276,0.12263436916108963,0.014292718224395347,-0.12555428318765502,0.18644975741362477,0.20460565275800557,0.23196749293050012,-0.1840712974770815,0.03529579076320352,0.09611631177536722,0.0345606862503437,0.03930192276298447,0.06833786537181971,0.07775838760363434,0.00966569816429675,-0.006421141641106833,-0.010088851233806607,-0.041892432591567455,-0.028745193595321624,-0.042020912083629264,-0.00487475124029291,0.0030731587244528457,0.009530363886785602,-0.056773541074802904,0.002777282899595515,-0.06430129257132589,0.00842462558091788,-0.046042087320571315,0.04696524477578842,-0.13334051555325255
RUNEUSDT_4h_trend,0.06947683414123776,0.20600814072677376,0.21579391432008646,0.2338974411592753,0.20803028284712072,0.33340064283682463,0.07009790903030894,0.26821786697442557,0.39685361352621895,0.1080653035827123,0.3162798646964595,0.12047624987789947,0.36896421671464863,0.39807243572070367,0.4112340690561133,1.0,0.04080408499528429,0.08880103792802675,0.03683632643695845,-0.13384891751113898,0.1816885925626517,0.19850245072836442,0.14159597520625533,-0.1046573400405292,0.0005283854210174869,0.07589776712414945,0.03256759021142334,-0.010838283799303542,0.05051169242176774,0.043824887522367593,0.01686773959147087,-0.012533375796393987,-0.01853614155791342,-0.005101290733206395,0.019674383196411283,0.0034733447627644395,-0.010290436138039644,0.029658019210180117,0.03635486745547376,-0.012780285233439156,0.029053543580211644,-0.04272800117924345,0.04050820749044019,0.007965491143546229,0.05028604435882711,-0.07183839923866267
BTCUSDT_1d_trend,0.02215706022102825,0.058906612585018024,0.0030042555428042477,0.027026604404445445,-0.04076169097805616,0.26732799706730104,0.07190427659387248,0.16713881717941667,0.06777645452155348,0.05139687811427544,0.054747962590905065,0.0569629354602913,-0.0031090175981343658,-0.007643959777873863,-0.024674975914174276,0.04080408499528429,1.0,0.05593980221102234,0.290622200983468,-0.04366867268089267,0.08134723699089165,0.08797401135962472,0.07651986616475025,0.04875403046191794,0.03366820854363124,0.003716144814605238,0.04181290681062437,-0.016858167074567224,0.09128431956655482,0.018169905590388183,0.009045330318377278,0.13256893779929516,0.046714086717013825,0.11209686646883497,0.1192661684507978,0.11764873404984268,-0.02953462999492309,0.12997229450206804,0.08903951401971742,0.2077299889442732,0.11608856927625365,0.10687807981508597,0.16145112687267502,0.11217098632820699,0.08844579084091678,0.17793518085793994
XRPUSDT_1d_breakout,-0.0022962214270678028,0.05163489224515128,0.07905374472136388,0.07991365812750181,0.051294429395062,0.06631217749219136,0.03146699211330101,0.08594944992931385,0.12764641358953363,0.06949473491626693,0.14553343612254635,0.030983344209788256,0.1635607223227469,0.1330622959233603,0.12263436916108963,0.08880103792802675,0.05593980221102234,1.0,0.049523419907365564,-0.1473950109576967,0.17940807170768738,0.12850063216251845,0.06282559765758323,-0.04339869815546395,0.024735795356870025,0.03796999011317384,0.023355026081956717,-0.004257586447779879,0.01768908378128042,0.02990865532820875,0.034088164366530865,0.03932877603114374,0.04543901991196589,-0.00016789442149217187,0.009788105777489139,0.0036739936654486658,0.04162916680488472,0.027599797011590106,0.014024462041082542,0.030461834604989878,0.038514328288732115,0.033643620008491706,0.04250004650760761,0.04981623394018361,0.04725697299188952,0.025472306674822382
