feature,family,ic,ic_t,abs_ic,ic_sign_consistency,n_obs,cluster,is_rep,kept
parkinson_20,volatility,0.005040461986440125,0.680854291234551,0.005040461986440125,0.29,18246,8,False,False
parkinson_60,volatility,-0.004892592438059815,-0.6550594794922631,0.004892592438059815,0.57,17926,8,False,False
px_sma_10,trend,-0.004889041545286379,-0.6618469454829665,0.004889041545286379,0.71,18326,21,False,False
variance_ratio_5,statistical,0.004695919428840171,0.6223820747341602,0.004695919428840171,0.29,17566,3,True,False
garmanklass_60,volatility,-0.004623194349295687,-0.6189903047068764,0.004623194349295687,0.71,17926,8,False,False
logret_10,momentum,0.003959018452818133,0.5358294178154859,0.003959018452818133,0.43,18318,21,False,False
ret_10,momentum,0.003958980643565718,0.5358243005597947,0.003958980643565718,0.43,18318,21,False,False
realvol_60,volatility,-0.002592349220649346,-0.3470070289848826,0.002592349220649346,0.71,17918,8,False,False
breakout_dn_55,range_breakout,-0.001891831061245113,-0.25351947995598356,0.001891831061245113,0.57,17958,19,False,False
realvol_20,volatility,-0.0013443333222658744,-0.18154971412740262,0.0013443333222658744,0.57,18238,8,False,False
px_ema_10,trend,-0.0007877699992394928,-0.10685251403766569,0.0007877699992394928,0.57,18398,21,False,False
hour,calendar,,,0.0,0.0,18398,26,True,False
min_since_day_open,calendar,,,0.0,0.0,18398,27,True,False
