tf,breakout,carry,cross_sectional,mean_reversion,pairs,trend
15m,-3.620962103894305,-0.37528053314263166,,-5.5284398141599445,,-0.1803193662441936
1d,0.019382268202170237,-0.23619379483450942,0.29616617446694077,-0.16648902414910824,0.1086154253049222,0.11728284247787354
1h,-0.8427118292663973,-0.18041722310198707,,-1.400411820316086,,0.017721527236267184
4h,-0.10288603592360335,-0.3710088597902743,,-0.5033940348174888,,0.12223991503335221
5m,-10.091397727011312,-1.1107641547090716,,-15.12722183348299,,-1.3274805816744593
