sleeve,kind,tf,family,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,turnover,placebo_sharpe,screened,wf_oos,accepted
FETUSDT_5m_carry,crypto,5m,carry,-1.4424713624012218,,,-0.3609065189586117,0.3488372093023256,459.80143891932454,-16.815228841367606,False,,False
FETUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-18.981042481709963,,,-0.9990027299693194,0.0,9465.78182393641,-33.40075090379415,False,,False
FETUSDT_5m_breakout,crypto,5m,breakout,-13.84299414256324,,,-0.9694223849388587,0.0,3819.0022446375465,-25.02060394764539,False,,False
CRVUSDT_5m_trend,crypto,5m,trend,-1.5171770408110343,,,-0.7817115390248409,0.323943661971831,1833.6710478220416,-39.38059650388708,False,,False
CRVUSDT_5m_carry,crypto,5m,carry,-0.8208220021224955,,,-0.3847542333968669,0.4084507042253521,558.5259758481161,-14.001653286892275,False,-1.0621429298337721,False
CRVUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-18.32837811291478,,,-0.9999717590648879,0.0,13743.87888508938,-32.49279854210051,False,,False
CRVUSDT_5m_breakout,crypto,5m,breakout,-10.737900507880843,,,-0.9793540181845781,0.014084507042253521,4362.245417893741,-20.039998023890192,False,,False
1000LUNCUSDT_5m_trend,crypto,5m,trend,-2.5235186316278257,,,-0.8370865515701702,0.2978723404255319,1882.797493663072,-36.398846945491755,False,,False
1000LUNCUSDT_5m_carry,crypto,5m,carry,-1.5189211373706692,,,-0.42779838533464276,0.3191489361702128,582.8784243699569,-15.048282089623488,False,,False
1000LUNCUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-23.174051123826068,,,-0.9999934451179898,0.0,13020.426931179194,-34.21883390626814,False,,False
1000LUNCUSDT_5m_breakout,crypto,5m,breakout,-16.286901810365073,,,-0.9954281225711485,0.0,4747.47836317438,-23.438038991832915,False,,False
STXUSDT_5m_trend,crypto,5m,trend,-1.1114082343153953,,,-0.5619730389619801,0.3333333333333333,1422.9873165767422,-34.40015608846376,False,,False
STXUSDT_5m_carry,crypto,5m,carry,-0.7009630370627404,,,-0.2997866545686665,0.42857142857142855,533.166268424292,-16.719400518493124,False,-0.2527096271939403,False
STXUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-22.984421986756704,,,-0.9999394660542754,0.0,10604.249774219057,-30.934723005619198,False,,False
STXUSDT_5m_breakout,crypto,5m,breakout,-15.285796927852669,,,-0.9858342628888388,0.023809523809523808,4376.163094877795,-25.498843528446205,False,,False
LDOUSDT_5m_trend,crypto,5m,trend,-1.8225599417841727,,,-0.7500119134536418,0.2978723404255319,1547.660883241455,-39.01814724781611,False,,False
LDOUSDT_5m_carry,crypto,5m,carry,-0.35018882265088447,,,-0.21240911605681834,0.40425531914893614,570.8690990772069,-16.681237422573258,False,-0.9730384802345454,False
LDOUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-19.969805935771085,,,-0.9998025455467646,0.0,11133.662296100829,-33.75980070370335,False,,False
LDOUSDT_5m_breakout,crypto,5m,breakout,-13.880595587085361,,,-0.9882436238257393,0.0,4589.042274748057,-24.660476189145285,False,,False
IMXUSDT_5m_trend,crypto,5m,trend,-1.6347921736750612,,,-0.7287878676108261,0.25925925925925924,1712.0439290522886,-37.77395002923425,False,,False
IMXUSDT_5m_carry,crypto,5m,carry,-1.6622348066390151,,,-0.4840037658039259,0.25925925925925924,693.9073249217944,-15.619389727113932,False,,False
IMXUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-22.13205945610227,,,-0.9999942457682468,0.0,12569.637338656612,-32.63890472260702,False,,False
IMXUSDT_5m_breakout,crypto,5m,breakout,-15.329521549450762,,,-0.9966350242512714,0.0,5353.871529040009,-27.047768146216146,False,,False
XTZUSDT_5m_trend,crypto,5m,trend,-2.8347919735294607,,,-0.9516112471237498,0.20512820512820512,2728.661654969285,-35.18887282661913,False,,False
XTZUSDT_5m_carry,crypto,5m,carry,-1.143809108379209,,,-0.45894687296939984,0.4230769230769231,865.240363550852,-14.28719869467833,False,,False
XTZUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-23.848619513981895,,,-0.999999994444498,0.0,20109.659917430374,-30.40081803978807,False,,False
XTZUSDT_5m_breakout,crypto,5m,breakout,-16.383903998371007,,,-0.999384677571588,0.0,6723.79797241616,-23.4963013454672,False,,False
JASMYUSDT_5m_trend,crypto,5m,trend,-2.062486521610539,,,-0.7743947917306586,0.28846153846153844,1727.0368516709586,-33.413157140966426,False,,False
JASMYUSDT_5m_carry,crypto,5m,carry,-1.3153988847095095,,,-0.4407267870863224,0.4423076923076923,631.8849286134316,-15.971258467677268,False,-0.440842960971149,False
JASMYUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-22.609731236369214,,,-0.9999914721089225,0.0,12167.294250355393,-31.17257565759969,False,,False
JASMYUSDT_5m_breakout,crypto,5m,breakout,-15.693826666591514,,,-0.9956954942009429,0.0,4884.756953110725,-24.957327488544244,False,,False
CFXUSDT_5m_trend,crypto,5m,trend,-1.7905511695186733,,,-0.7015293058708234,0.3333333333333333,1427.5293698161934,-34.937267738531155,False,,False
CFXUSDT_5m_carry,crypto,5m,carry,-1.0638222356788734,,,-0.33901106976501505,0.35714285714285715,518.9481804563221,-16.000716921482553,False,,False
CFXUSDT_5m_mean_reversion,crypto,5m,mean_reversion,-22.775468360838,,,-0.9998921951782489,0.0,10119.389408528108,-31.354466586752693,False,,False
CFXUSDT_5m_breakout,crypto,5m,breakout,-14.721597481118023,,,-0.9853952841237094,0.023809523809523808,3982.3065450086656,-23.984889751035194,False,,False
OPUSDT_5m_trend,crypto,5m,trend,-1.3013704474003414,,,-0.6444132151811532,0.36,1637.2466422711063,-41.9202136046435,False,,False
