sleeve,segments,prec_base,prec_gate,sharpe_base,sharpe_gate,dd_base,dd_gate
BTCUSDT_15m,1028,0.25778210116731515,0.3404255319148936,-0.2889366793689377,0.004854921826819089,-0.5465249635012661,-0.09329104227902885
ETHUSDT_15m,987,0.2917933130699088,0.32142857142857145,0.4526228323494036,-0.24149288396191332,-0.26556642853935397,-0.13365856012949118
SOLUSDT_15m,803,0.32004981320049813,0.37681159420289856,0.868661703257181,0.5281016607408044,-0.2749238274072531,-0.07303775528524559
BTCUSDT_1h,259,0.2625482625482625,0.41379310344827586,0.14173689935931216,0.13124518501832835,-0.27471319017630036,-0.10721112889462636
ETHUSDT_1h,255,0.3176470588235294,0.28888888888888886,0.2272057557190043,-0.09130605996422468,-0.29558529739046235,-0.19612406754629652
SOLUSDT_1h,192,0.3541666666666667,0.4418604651162791,1.0299315530112436,1.4383243027475874,-0.1518684958032407,-0.05935309780413556
