asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,BTCUSDT,4h,gate,"ema|fast50,slow200|g:adx|reversal|ls",ema,ls,reversal,adx,0.932,1.442,-0.2832,0.556,12.6,2.8277,3271
crypto,BTCUSDT,4h,gate,"ema|fast50,slow200|g:ltf|reversal|ls",ema,ls,reversal,ltf,1.019,1.569,-0.2854,0.565,12.7,3.3977,3271
crypto,BTCUSDT,4h,gate,"ema|fast50,slow200|g:vol|reversal|ls",ema,ls,reversal,vol,0.928,1.408,-0.2854,0.556,12.6,2.7491,3271
crypto,BTCUSDT,4h,headline,blend|long_only,blend,long_only,-,-,1.217,1.495,-0.1042,0.343,7.6,1.2092,3271
crypto,BTCUSDT,4h,headline,blend|asym,blend,asym,-,-,1.183,1.859,-0.1018,0.472,9.8,1.2211,3271
crypto,BTCUSDT,1h,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,0.365,0.601,-0.2582,0.544,107.4,0.3799,2404
crypto,BTCUSDT,1h,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,0.142,0.223,-0.2747,0.532,65.1,0.0644,2404
crypto,BTCUSDT,1h,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,0.68,1.055,-0.1877,0.57,46.9,0.9913,2404
crypto,BTCUSDT,1h,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,0.227,0.35,-0.243,0.506,69.6,0.1748,2404
crypto,BTCUSDT,1h,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,-1.464,-2.497,-0.8597,0.342,589.6,-0.8441,2404
crypto,BTCUSDT,1h,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,-0.639,-1.037,-0.6822,0.468,339.0,-0.5803,2404
crypto,BTCUSDT,1h,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,-1.035,-1.664,-0.7868,0.443,490.1,-0.7198,2404
