asset_class,symbol,cfg,sharpe
crypto,XRPUSDT,"ema|fast20,slow200|ls",0.32
crypto,XRPUSDT,"ema|fast50,slow150|ls",0.13
crypto,XRPUSDT,"ema|fast50,slow200|ls",0.32
crypto,XRPUSDT,"ema|fast50,slow300|ls",0.32
crypto,XRPUSDT,"ema|fast100,slow300|ls",0.35
crypto,XRPUSDT,"ema|fast100,slow400|ls",0.14
crypto,XRPUSDT,"sma|fast20,slow100|ls",-0.44
crypto,XRPUSDT,"sma|fast50,slow200|ls",0.07
crypto,XRPUSDT,"sma|fast100,slow300|ls",0.69
crypto,XRPUSDT,tsmom|lookback20|ls,0.35
crypto,XRPUSDT,tsmom|lookback30|ls,0.39
crypto,XRPUSDT,tsmom|lookback60|ls,0.28
crypto,XRPUSDT,tsmom|lookback90|ls,-0.05
crypto,XRPUSDT,tsmom|lookback120|ls,0.48
crypto,XRPUSDT,tsmom|lookback180|ls,0.16
crypto,XRPUSDT,"macd|fast12,slow26|ls",0.54
crypto,XRPUSDT,donchian|lookback20|ls,0.4
crypto,XRPUSDT,donchian|lookback55|ls,0.66
crypto,XRPUSDT,donchian|lookback100|ls,0.77
crypto,XRPUSDT,blend|ls,0.21
crypto,XRPUSDT,strength|lookback90|ls,0.08
crypto,LTCUSDT,"ema|fast10,slow50|ls",0.33
crypto,LTCUSDT,"ema|fast20,slow100|ls",0.22
crypto,LTCUSDT,"ema|fast20,slow200|ls",0.05
crypto,LTCUSDT,"ema|fast50,slow150|ls",-0.11
crypto,LTCUSDT,"ema|fast50,slow200|ls",-0.23
crypto,LTCUSDT,"ema|fast50,slow300|ls",-0.07
crypto,LTCUSDT,"ema|fast100,slow300|ls",-0.15
crypto,LTCUSDT,"ema|fast100,slow400|ls",-0.45
crypto,LTCUSDT,"sma|fast20,slow100|ls",0.31
crypto,LTCUSDT,"sma|fast50,slow200|ls",-0.22
crypto,LTCUSDT,"sma|fast100,slow300|ls",-0.26
crypto,LTCUSDT,tsmom|lookback20|ls,-0.2
crypto,LTCUSDT,tsmom|lookback30|ls,0.23
crypto,LTCUSDT,tsmom|lookback60|ls,0.17
crypto,LTCUSDT,tsmom|lookback90|ls,0.18
crypto,LTCUSDT,tsmom|lookback120|ls,0.46
crypto,LTCUSDT,tsmom|lookback180|ls,-0.18
crypto,LTCUSDT,"macd|fast12,slow26|ls",0.01
crypto,LTCUSDT,donchian|lookback20|ls,0.31
crypto,LTCUSDT,donchian|lookback55|ls,0.05
crypto,LTCUSDT,donchian|lookback100|ls,-0.02
crypto,LTCUSDT,blend|ls,0.1
crypto,LTCUSDT,strength|lookback90|ls,0.26
equity,SPY,"ema|fast10,slow50|ls",0.15
equity,SPY,"ema|fast20,slow100|ls",0.3
equity,SPY,"ema|fast20,slow200|ls",0.55
equity,SPY,"ema|fast50,slow150|ls",0.5
equity,SPY,"ema|fast50,slow200|ls",0.54
equity,SPY,"ema|fast50,slow300|ls",0.6
equity,SPY,"ema|fast100,slow300|ls",0.75
equity,SPY,"ema|fast100,slow400|ls",0.83
equity,SPY,"sma|fast20,slow100|ls",0.17
equity,SPY,"sma|fast50,slow200|ls",0.57
equity,SPY,"sma|fast100,slow300|ls",0.71
equity,SPY,tsmom|lookback20|ls,0.06
equity,SPY,tsmom|lookback30|ls,-0.31
equity,SPY,tsmom|lookback60|ls,0.29
equity,SPY,tsmom|lookback90|ls,0.4
equity,SPY,tsmom|lookback120|ls,0.61
equity,SPY,tsmom|lookback180|ls,0.54
equity,SPY,"macd|fast12,slow26|ls",-0.27
equity,SPY,donchian|lookback20|ls,-0.0
equity,SPY,donchian|lookback55|ls,0.27
equity,SPY,donchian|lookback100|ls,0.34
equity,SPY,blend|ls,0.42
equity,SPY,strength|lookback90|ls,0.35
equity,QQQ,"ema|fast10,slow50|ls",0.22
equity,QQQ,"ema|fast20,slow100|ls",0.55
equity,QQQ,"ema|fast20,slow200|ls",0.76
equity,QQQ,"ema|fast50,slow150|ls",0.72
equity,QQQ,"ema|fast50,slow200|ls",0.83
equity,QQQ,"ema|fast50,slow300|ls",0.83
equity,QQQ,"ema|fast100,slow300|ls",0.88
equity,QQQ,"ema|fast100,slow400|ls",0.86
equity,QQQ,"sma|fast20,slow100|ls",0.39
equity,QQQ,"sma|fast50,slow200|ls",0.74
equity,QQQ,"sma|fast100,slow300|ls",0.77
equity,QQQ,tsmom|lookback20|ls,0.18
equity,QQQ,tsmom|lookback30|ls,-0.21
equity,QQQ,tsmom|lookback60|ls,0.34
equity,QQQ,tsmom|lookback90|ls,0.42
equity,QQQ,tsmom|lookback120|ls,0.81
equity,QQQ,tsmom|lookback180|ls,0.65
equity,QQQ,"macd|fast12,slow26|ls",-0.4
equity,QQQ,donchian|lookback20|ls,-0.02
equity,QQQ,donchian|lookback55|ls,0.14
equity,QQQ,donchian|lookback100|ls,0.44
equity,QQQ,blend|ls,0.47
equity,QQQ,strength|lookback90|ls,0.35
equity,AAPL,"ema|fast10,slow50|ls",0.18
equity,AAPL,"ema|fast20,slow100|ls",0.32
equity,AAPL,"ema|fast20,slow200|ls",0.47
equity,AAPL,"ema|fast50,slow150|ls",0.42
equity,AAPL,"ema|fast50,slow200|ls",0.44
equity,AAPL,"ema|fast50,slow300|ls",0.42
equity,AAPL,"ema|fast100,slow300|ls",0.46
equity,AAPL,"ema|fast100,slow400|ls",0.53
equity,AAPL,"sma|fast20,slow100|ls",0.3
equity,AAPL,"sma|fast50,slow200|ls",0.36
equity,AAPL,"sma|fast100,slow300|ls",0.49
equity,AAPL,tsmom|lookback20|ls,0.27
equity,AAPL,tsmom|lookback30|ls,0.1
equity,AAPL,tsmom|lookback60|ls,0.35
equity,AAPL,tsmom|lookback90|ls,0.32
equity,AAPL,tsmom|lookback120|ls,0.21
equity,AAPL,tsmom|lookback180|ls,0.37
equity,AAPL,"macd|fast12,slow26|ls",0.27
equity,AAPL,donchian|lookback20|ls,-0.05
equity,AAPL,donchian|lookback55|ls,0.09
equity,AAPL,donchian|lookback100|ls,0.4
equity,AAPL,blend|ls,0.35
equity,AAPL,strength|lookback90|ls,0.19
equity,MSFT,"ema|fast10,slow50|ls",0.29
equity,MSFT,"ema|fast20,slow100|ls",0.36
equity,MSFT,"ema|fast20,slow200|ls",0.62
equity,MSFT,"ema|fast50,slow150|ls",0.57
equity,MSFT,"ema|fast50,slow200|ls",0.65
equity,MSFT,"ema|fast50,slow300|ls",0.69
equity,MSFT,"ema|fast100,slow300|ls",0.63
equity,MSFT,"ema|fast100,slow400|ls",0.63
equity,MSFT,"sma|fast20,slow100|ls",0.34
equity,MSFT,"sma|fast50,slow200|ls",0.58
equity,MSFT,"sma|fast100,slow300|ls",0.48
equity,MSFT,tsmom|lookback20|ls,0.03
equity,MSFT,tsmom|lookback30|ls,0.05
equity,MSFT,tsmom|lookback60|ls,0.24
equity,MSFT,tsmom|lookback90|ls,0.55
equity,MSFT,tsmom|lookback120|ls,0.55
equity,MSFT,tsmom|lookback180|ls,0.64
equity,MSFT,"macd|fast12,slow26|ls",-0.81
equity,MSFT,donchian|lookback20|ls,0.06
equity,MSFT,donchian|lookback55|ls,0.23
equity,MSFT,donchian|lookback100|ls,0.63
equity,MSFT,blend|ls,0.46
equity,MSFT,strength|lookback90|ls,0.5
equity,NVDA,"ema|fast10,slow50|ls",0.28
equity,NVDA,"ema|fast20,slow100|ls",0.7
equity,NVDA,"ema|fast20,slow200|ls",0.97
equity,NVDA,"ema|fast50,slow150|ls",1.07
equity,NVDA,"ema|fast50,slow200|ls",1.01
equity,NVDA,"ema|fast50,slow300|ls",0.99
equity,NVDA,"ema|fast100,slow300|ls",0.93
equity,NVDA,"ema|fast100,slow400|ls",0.9
equity,NVDA,"sma|fast20,slow100|ls",0.59
equity,NVDA,"sma|fast50,slow200|ls",1.08
equity,NVDA,"sma|fast100,slow300|ls",0.91
equity,NVDA,tsmom|lookback20|ls,0.24
equity,NVDA,tsmom|lookback30|ls,0.12
equity,NVDA,tsmom|lookback60|ls,0.61
equity,NVDA,tsmom|lookback90|ls,0.8
equity,NVDA,tsmom|lookback120|ls,0.69
equity,NVDA,tsmom|lookback180|ls,1.21
equity,NVDA,"macd|fast12,slow26|ls",-0.38
equity,NVDA,donchian|lookback20|ls,0.39
equity,NVDA,donchian|lookback55|ls,0.69
equity,NVDA,donchian|lookback100|ls,0.76
equity,NVDA,blend|ls,0.79
equity,NVDA,strength|lookback90|ls,0.88
