asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
equity,QQQ,1d,ema,0.91,0.04421538870055408,0.021385306680503282,5328
equity,SPY,1d,ema,0.69,0.03416312966231669,0.0201661817358531,5328
equity,GOOGL,1d,ema,0.72,0.033866176718252816,0.015590449570674198,5328
equity,MSFT,1d,ema,0.81,0.037613471581643416,0.015495663322933041,5328
equity,IWM,1d,ema,0.19,0.007980775755697245,0.01536543134938709,5328
equity,AMZN,1d,ema,0.61,0.02766080179055384,0.013532192053127131,5328
equity,JPM,1d,ema,0.69,0.03176690267196321,0.013512400461197302,5328
equity,META,1d,ema,0.68,0.02907679119173745,0.013346423802450677,5192
equity,NVDA,1d,ema,1.18,0.05543335223823142,0.012873115051601514,5328
equity,AAPL,1d,ema,0.62,0.028124897006320548,0.01167152820737511,5328
crypto,ETHUSDT,1h,ema,0.48,0.009242478318169291,0.010362781913705058,2404
crypto,ETHUSDT,4h,ema,0.83,0.020577766899587516,0.009720619449096196,3271
crypto,BTCUSDT,4h,ema,1.16,0.029728641857994797,0.008939545670324702,3271
crypto,HBARUSDT,4h,ema,-0.26,-0.017351473387984925,0.008827465114048168,2498
crypto,BTCUSDT,1h,ema,0.42,0.007900820288189439,0.008712426731159465,2404
crypto,LINKUSDT,4h,ema,0.58,0.011558134076853493,0.008666540385861116,2754
crypto,DOTUSDT,4h,ema,0.42,0.005933480818159349,0.008409650616888578,2170
crypto,ADAUSDT,1h,ema,0.72,0.011900979568670273,0.008209190652915295,2374
crypto,BNBUSDT,1h,ema,0.72,0.012538170218634837,0.008170334063166128,2364
crypto,DOTUSDT,1h,ema,-0.25,-0.003535173517993479,0.008069330400344804,2170
crypto,BTCUSDT,1d,ema,0.65,0.016230568875819484,0.008042655816665696,3271
crypto,LTCUSDT,4h,ema,0.29,0.00642107928480201,0.007963587952027455,3153
crypto,ETHUSDT,1d,ema,0.25,0.005778713187028866,0.007880311234448809,3271
crypto,VETUSDT,1h,ema,0.52,0.008218276394898373,0.007780909192186194,2360
crypto,DASHUSDT,4h,ema,-0.18,-0.003383854054246287,0.007725823930024034,2683
crypto,BNBUSDT,4h,ema,1.33,0.03141036981982653,0.007713282580874752,3190
crypto,BCHUSDT,4h,ema,0.16,0.0027687814956677886,0.007668885686797963,2438
crypto,XRPUSDT,1d,ema,0.53,0.011705805090907292,0.007663856336721897,2399
crypto,LINKUSDT,1h,ema,0.65,0.011046278292223143,0.007629347860638133,2388
crypto,LTCUSDT,1h,ema,-0.42,-0.007125463373262588,0.007608472753856673,2396
crypto,ETCUSDT,1h,ema,-0.15,-0.0025327796789437517,0.007531866734214114,2389
crypto,XTZUSDT,1h,ema,-0.16,-0.0025007355044239167,0.007490949131362216,2368
crypto,TRXUSDT,4h,ema,0.71,0.017949915577994174,0.0074851705907699444,2973
crypto,XTZUSDT,4h,ema,0.38,0.006250534813828154,0.00737430710250787,2503
crypto,ETCUSDT,4h,ema,0.47,0.009652382599444391,0.007371694001343695,2972
crypto,XLMUSDT,4h,ema,0.03,0.0005925810078395163,0.007367320440675027,2984
crypto,TRXUSDT,1d,ema,0.68,0.020389663859130734,0.007279214669672285,2973
crypto,VETUSDT,4h,ema,0.98,0.018711425346487467,0.007259044996359144,2929
crypto,BCHUSDT,1h,ema,0.26,0.0046009391573117765,0.007227892655006087,2404
crypto,LINKUSDT,1d,ema,0.88,0.01813784070139893,0.007214638676288856,2754
crypto,BCHUSDT,1d,ema,0.28,0.005093602893465751,0.007198547470691096,2438
crypto,DASHUSDT,1h,ema,-0.15,-0.0024947239595463026,0.007197670451124675,2370
crypto,DOGEUSDT,4h,ema,0.83,0.017140497749270157,0.007130175760471257,2584
crypto,ADAUSDT,4h,ema,0.85,0.016084566287206715,0.007025958604497245,3028
crypto,TRXUSDT,1h,ema,0.31,0.0062494477447033936,0.006991519563379947,2390
crypto,XRPUSDT,1h,ema,0.48,0.008247043555058967,0.006963626967195821,2399
crypto,ATOMUSDT,1h,ema,0.08,0.001225252925568048,0.006948080658504018,2367
crypto,SOLUSDT,4h,ema,0.68,0.009809633255745048,0.0069280486473559345,2147
crypto,IOTAUSDT,1h,ema,-0.08,-0.0011548801919107033,0.00691951548709504,2362
crypto,AVAXUSDT,4h,ema,0.52,0.007133708393208216,0.006909654561720289,2138
crypto,XRPUSDT,4h,ema,-0.09,-0.001914686904769907,0.006890571760735155,3011
crypto,GRTUSDT,1h,ema,0.05,0.0006382248446857929,0.006786950847089455,2051
crypto,ARBUSDT,1h,ema,0.01,9.435858343153921e-05,0.0067391192585464586,1227
crypto,NEARUSDT,1h,ema,0.64,0.009276819644863517,0.006737118104191872,2116
crypto,NEARUSDT,4h,ema,0.72,0.010063879602051313,0.006694508085996178,2116
